1,227,1020,728,1026,727,1063,227,1057,Thuy khách. Hẹn gặp lại.,OTHER
2,346,894,346,954,75,954,75,894,Cộng tiền hàng tiền hàng,TOTAL_COST
3,880,901,880,944,749,944,749,901,63.000,TOTAL_COST
4,395,826,512,826,512,862,395,862,49,000,OTHER
5,752,823,870,820,871,859,753,863,49,000,OTHER
6,78,826,103,826,103,861,78,861,1,OTHER
7,83,763,357,760,357,794,83,797,Dầu Cái Lân 2L,OTHER
8,747,694,862,694,862,728,747,728,14,000,OTHER
9,399,694,512,694,512,729,399,729,14,000,OTHER
10,85,692,112,696,108,730,81,727,1,OTHER
11,89,632,633,629,633,671,89,674,Đường tinh luyện xuất khẩu lkg,OTHER
12,392,569,513,572,512,607,391,604,Đơn giá,OTHER
13,93,569,140,569,140,605,93,605,SL,OTHER
14,684,562,857,559,858,603,684,606,Thanh tiền,OTHER
15,109,444,296,444,296,470,109,470,Só: SON55846,OTHER
16,853,436,853,478,608,478,608,436,Ngày: 12-08-2020,TIMESTAMP
17,315,380,634,374,635,408,315,413,HÓA ĐƠN BÁN HÀNG,OTHER
18,298,272,648,263,648,284,299,293,0869322496-02438765210,OTHER
19,118,208,839,208,839,254,118,254,Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
20,651,166,651,199,298,199,298,166,CỬA HÀNG NĂM OÁNH,SELLER
