1,220,862,365,862,365,879,220,879,Thu ngân: BH3,OTHER
2,563,818,563,847,327,847,327,818,Ngày: 13/08/2020 - 17:35,TIMESTAMP
3,490,769,566,771,565,797,489,794,30,348,OTHER
4,18,767,259,768,259,789,18,787,Giá trị thưởng tích lùy:,OTHER
5,14,730,182,727,182,751,14,753,Hạng hiện thời:,OTHER
6,520,687,563,690,561,717,518,714,741,OTHER
7,15,688,179,688,179,712,15,712,Điểm hiện thời:,OTHER
8,15,653,133,653,133,672,15,672,Điêm mua:,OTHER
9,531,649,561,649,561,675,531,675,22,OTHER
10,19,614,172,607,174,631,20,637,(O) bùi thị biển,OTHER
11,17,576,283,572,284,592,17,597,Mã thỏ: A10000001256,OTHER
12,270,515,318,515,318,536,270,536,VND,OTHER
13,470,512,557,512,557,536,470,536,226,000,OTHER
14,9,515,172,512,172,533,9,537,Tiền khách trả:,OTHER
15,133,480,133,506,8,506,8,480,Tổng cộng :,TOTAL_COST
16,555,473,555,500,463,500,463,473,226,000,TOTAL_COST
17,183,451,195,451,195,470,183,470,3,OTHER
18,8,445,102,447,101,472,8,469,Tổng số,OTHER
19,208,401,247,401,247,415,208,415,CAI,OTHER
20,151,403,161,403,161,417,151,417,z,OTHER
21,339,397,397,394,398,417,340,420,4,500,OTHER
22,487,394,548,394,548,418,487,418,9,000,OTHER
23,20,366,366,362,366,383,20,387,291022440000 bánh mi nhoke NT,OTHER
24,313,325,397,323,397,343,314,346,217,000,OTHER
25,206,325,249,325,249,344,206,344,HOP,OTHER
26,460,324,542,324,542,342,460,342,217,000,OTHER
27,150,326,162,326,162,343,150,343,1,OTHER
28,22,293,519,289,520,309,22,313,8934673196192 Sửa bột dielac Grow 24 900g NT,OTHER
29,30,258,267,258,267,279,30,279,Tên hàng sl đvt,OTHER
30,303,257,525,252,526,274,304,280,Đơn giá Thành tiên,OTHER
31,143,210,432,212,432,241,143,239,HÓA ĐƠN BÁN HÀNG,OTHER
32,3,161,41,161,41,180,3,180,Tel:,OTHER
33,421,125,421,147,148,147,148,125,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
34,395,85,395,110,172,110,172,85,MINIMART ANAN,SELLER
