1,100,599,422,602,422,619,100,616,Xin cám an và hẹn gắp lại quý khách,OTHER
2,208,581,329,581,329,596,208,596,Thu ngan: BHS,OTHER
3,256,509,297,509,297,527,256,527,VND,OTHER
4,431,508,492,505,493,523,431,525,63,000,OTHER
5,29,506,168,505,168,523,29,524,Tiển khách trả:,OTHER
6,135,477,135,501,27,501,27,477,Tổng cộng :,TOTAL_COST
7,494,474,494,493,433,493,433,474,63,000,TOTAL_COST
8,173,453,186,453,186,472,173,472,3,OTHER
9,27,449,105,449,105,470,27,470,Tổng số,OTHER
10,430,409,489,409,489,427,430,427,25,000,OTHER
11,303,409,362,409,362,427,303,427,25,000,OTHER
12,194,410,231,410,231,425,194,425,GOI,OTHER
13,147,411,157,411,157,426,147,426,1,OTHER
14,35,379,467,377,467,399,35,400,8938502879485 ngô nếp tươi sấy gói 160gm NT,OTHER
15,430,344,490,344,490,362,430,362,25,000,OTHER
16,302,344,363,344,363,362,302,362,25,000,OTHER
17,193,343,232,343,232,361,193,361,BIC,OTHER
18,145,344,157,344,157,360,145,360,1,OTHER
19,37,314,377,314,377,334,37,334,291020080000 hướng dương 0.4kgint,OTHER
20,430,279,488,279,488,297,430,297,13,000,OTHER
21,303,279,362,279,362,297,303,297,13,000,OTHER
22,194,278,231,278,231,296,194,296,CAI,OTHER
23,149,281,158,281,158,294,149,294,1,OTHER
24,42,249,465,249,465,266,42,266,8935060600018 Thạch rau câu Long Hải gia nt,OTHER
25,45,217,478,215,478,236,45,238,Tên hàng được đơn giá thành tiển,OTHER
26,145,179,391,178,391,202,145,203,HÓA ĐƠN BÁN HÀNG,OTHER
27,31,138,63,138,63,155,31,155,Tel:,OTHER
28,381,105,381,128,149,128,149,105,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
29,362,67,362,96,174,96,174,67,MINIMART ANAN,SELLER
