1,90,983,468,980,468,999,90,1001,Xin câm an và mo gip lại quý khách,OTHER
2,215,964,360,960,360,975,215,978,Thu ngân: BH3,OTHER
3,476,873,545,869,546,893,477,897,15, 31,OTHER
4,21,866,254,874,253,900,20,892,Giá trị thưởng tích lũy:,OTHER
5,21,831,179,836,178,861,20,857,Hạng hiện thời:,OTHER
6,488,798,546,798,546,822,488,822,1,086,OTHER
7,22,791,179,797,178,822,21,816,Điểm hiện thời:,OTHER
8,518,759,544,759,544,782,518,782,14,OTHER
9,28,757,133,760,132,779,27,776,Điôm mua:,OTHER
10,31,717,204,722,204,744,30,740,(0) mai thị hương,OTHER
11,33,685,280,685,280,703,33,703,Mã thỏ: A10000000834,OTHER
12,459,631,537,631,537,650,459,650,145,000,OTHER
13,269,630,315,630,315,650,269,650,VND,OTHER
14,25,625,179,625,179,646,25,646,Tiền khách trả:,OTHER
15,546,593,546,621,450,621,450,593,145,000 145,000,TOTAL_COST
16,137,582,137,620,27,620,27,582,Tổng tiền:,TOTAL_COST
17,458,553,535,553,535,572,458,572,145,000,OTHER
18,32,548,143,551,143,573,31,570,Tổng cộng,OTHER
19,175,524,203,524,203,545,175,545,22,OTHER
20,23,513,117,518,115,543,21,538,Tổng số,OTHER
21,464,476,533,478,532,502,463,499,14,000,OTHER
22,328,478,393,478,393,497,328,497,14,000,OTHER
23,212,478,251,478,251,494,212,494,GOT,OTHER
24,158,477,171,477,171,493,158,493,1,OTHER
25,39,443,514,447,514,465,39,461,8938504306552 đầu phông cốt dừa thành côn No,OTHER
26,464,410,530,410,530,429,464,429,58,000,OTHER
27,336,408,394,408,394,430,336,430,1,250,OTHER
28,213,409,252,409,252,425,213,425,HOP,OTHER
29,39,402,121,407,120,426,38,421,Giá bán,OTHER
30,158,407,171,407,171,424,158,424,8,OTHER
31,340,376,396,376,396,398,340,398,7,500,OTHER
32,41,371,159,375,158,395,40,392,Giá đăng ký,OTHER
33,41,341,513,347,513,370,41,363,291007180000 Sữa đàn bỏ VNM đường 180ml NT,OTHER
34,461,313,525,313,525,332,461,332,48,000,OTHER
35,339,313,393,313,393,332,339,332,4,000,OTHER
36,214,309,255,309,255,328,214,328,CHA,OTHER
37,149,309,176,309,176,325,149,325,12,OTHER
38,44,304,125,307,124,325,43,322,Giá bán,OTHER
39,341,282,395,282,395,301,341,301,4,500,OTHER
40,46,271,165,276,164,297,45,292,Giá đăng ký,OTHER
41,459,217,523,217,523,236,459,236,25,000,OTHER
42,326,217,393,216,393,235,327,236,25,000,OTHER
43,217,215,256,215,256,234,217,234,GOI,OTHER
44,167,217,180,217,180,233,167,233,L,OTHER
45,54,184,490,186,490,208,54,205,8936103590563 bột ớt kim chi hàn quốc 100 NT,OTHER
46,308,158,510,155,510,174,308,176,Đơn giá Thành tiến,OTHER
47,181,156,276,156,276,175,181,175,SL ĐVT,OTHER
48,63,154,154,158,154,177,63,173,Tên hàng,OTHER
49,164,114,427,116,426,145,164,143,HÓA ĐƠN BÁN HÀNG,OTHER
50,54,76,77,76,77,93,54,93,el,OTHER
51,418,41,418,70,165,70,165,41,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
52,400,6,400,34,187,34,187,6,MINIMART ANAN,SELLER
