1,232,916,770,934,769,981,230,964,Cám ơn quý khách, Hẹn gặp lại:,OTHER
2,933,823,932,867,775,864,776,820,210,000 210,000,TOTAL_COST
3,363,812,362,875,76,870,77,807,Cộng tiền hàng tiền hàng,TOTAL_COST
4,777,742,925,742,925,779,777,779,210,000,OTHER
5,407,738,551,738,551,776,407,776,210,000,OTHER
6,89,731,111,734,108,767,85,765,1,OTHER
7,95,664,326,668,325,709,94,705,Simply 5 L/4,OTHER
8,416,601,544,604,543,643,415,640,Đơn giá,OTHER
9,733,599,920,599,920,644,733,644,Thành tiền,OTHER
10,93,598,145,598,145,636,93,636,SL,OTHER
11,911,463,911,505,651,501,652,459,Ngày: 12-08-2020,TIMESTAMP
12,110,456,316,463,315,495,109,488,Sô: SON55632,OTHER
13,339,393,678,393,678,425,339,425,HÓA ĐƠN BÁN HÀNG,OTHER
14,324,277,693,281,693,305,323,300,0869322496-02438765210,OTHER
15,896,223,895,268,127,255,128,211,Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
16,698,176,698,209,320,203,320,170,CỬA HÀNG NĂM OÁNH,SELLER
