1,62,825,375,822,375,842,63,845,Xin cám ơn và hen gắp lại quý khách,OTHER
2,166,799,284,796,284,816,167,818,Thu ngân: BH3,OTHER
3,439,760,439,788,250,788,250,760,Ngày: 16/08/2020 - 17:12,TIMESTAMP
4,10,727,199,722,200,742,10,747,Giá trị thưởng tích lũy:,OTHER
5,373,721,432,723,431,744,372,742,10,736,OTHER
6,9,698,139,692,141,713,10,719,Hạng hiện thời:,OTHER
7,10,664,138,662,138,683,10,685,Điểm hiện thời:,OTHER
8,380,661,427,661,427,680,380,680,1,073,OTHER
9,10,638,100,634,101,651,11,655,Điêm mua:,OTHER
10,413,629,426,629,426,646,413,646,6,OTHER
11,13,605,167,599,168,619,14,626,(0) nguyễn thị hòa,OTHER
12,13,577,216,571,217,588,13,594,Mã thẻ: A10000001192,OTHER
13,2,533,130,530,130,547,2,550,Tiền trả lại VND,OTHER
14,361,525,417,521,418,538,362,542,38,000,OTHER
15,205,500,243,500,243,518,205,518,VND,OTHER
16,10,503,135,499,135,516,10,520,Tiên khách trả:,OTHER
17,352,494,416,490,417,508,353,512,100,000,OTHER
18,97,474,97,495,11,495,11,474,Tổng tiền:,TOTAL_COST
19,419,464,419,480,359,480,359,464,62,000,TOTAL_COST
20,8,442,105,444,105,462,8,460,Tổng công,OTHER
21,356,431,411,427,413,444,358,449,82,000,OTHER
22,130,422,153,422,153,437,130,437,13,OTHER
23,13,420,81,420,81,434,13,434,Tổng số,OTHER
24,158,385,189,385,189,399,158,399,GOI,OTHER
25,21,385,87,385,87,399,21,399,Giá bán,OTHER
26,106,385,127,385,127,399,106,399,10,OTHER
27,256,382,297,378,299,396,257,400,1,600,OTHER
28,351,373,404,368,406,385,353,390,16,000,OTHER
29,22,357,115,361,115,376,21,372,Giá đăng ký,OTHER
30,256,359,298,355,299,370,257,374,2,000,OTHER
31,158,310,190,310,190,324,158,324,CHA,OTHER
32,119,309,128,309,128,322,119,322,1,OTHER
33,245,309,293,304,295,319,246,324,12,000,OTHER
34,346,296,398,288,400,306,349,314,12,000,OTHER
35,158,257,189,260,188,274,157,272,CHA,OTHER
36,119,258,128,258,128,270,119,270,L,OTHER
37,242,260,292,254,294,269,244,275,20,000,OTHER
38,342,246,394,238,396,253,344,261,20,000,OTHER
39,158,209,189,212,188,227,157,224,CHA,OTHER
40,120,211,129,211,129,221,120,221,1,OTHER
41,243,210,290,204,292,221,246,227,14,000,OTHER
42,340,193,393,186,395,204,343,211,14,000,OTHER
43,167,168,225,168,225,179,167,179,ĐVT,OTHER
44,131,168,171,168,171,179,131,179,SL,OTHER
45,34,159,107,166,106,180,33,173,Tên háng,OTHER
46,21,99,44,99,44,111,21,111,Tel,OTHER
