1,54,774,361,753,363,776,55,797,Xin cảm an và hên gập lại quy khách,OTHER
2,161,740,274,734,275,754,162,760,Thu ngân: BHS,OTHER
3,4,674,120,666,121,687,5,694,Bn trả lại VND,OTHER
4,362,664,418,664,418,682,362,682,32,000,OTHER
5,352,633,418,633,418,651,352,651,200,100,OTHER
6,3,638,125,631,126,651,4,658,Tiến khách trá:,OTHER
7,198,631,237,631,237,654,198,654,VND,OTHER
8,84,605,84,631,-2,631,-2,606,Tổng tiền,TOTAL_COST
9,417,600,417,621,351,621,350,601,168,000,TOTAL_COST
10,1,570,101,572,100,593,1,591,Sing công,OTHER
11,351,566,414,566,414,583,351,583,168,000,OTHER
12,2,548,76,544,76,562,2,565,Tổng số,OTHER
13,121,546,155,546,155,561,121,561,11,OTHER
14,110,511,117,511,117,518,110,518,4,OTHER
15,253,505,296,505,296,521,253,521,6,500,OTHER
16,354,503,409,503,409,522,354,522,26,000,OTHER
17,137,504,188,504,188,521,137,521,HOP,OTHER
18,5,479,107,479,107,496,5,496,Gia đăng kỳ,OTHER
19,254,478,296,478,296,493,254,493,7,000,OTHER
20,3,450,387,450,387,470,3,470,8936012060300 Sừa Mộc Châu đường 180ml NT,OTHER
21,110,425,119,425,119,433,110,433,4,OTHER
22,8,418,115,423,114,440,8,436,Giá bán,OTHER
23,352,421,403,421,403,435,352,435,27,000,OTHER
24,251,421,294,418,295,435,251,437,6,750,OTHER
25,147,422,182,422,182,433,147,433,HOP,OTHER
26,250,395,296,392,297,409,250,412,7,000,OTHER
27,4,391,122,396,121,413,4,408,Giá đăng kỳ,OTHER
28,11,366,332,368,332,386,11,384,8934841901863 Sữa CGHL dâu 180ml NT,OTHER
29,241,342,291,342,291,356,241,356,25,000,OTHER
30,346,340,399,340,399,357,346,357,25.000,OTHER
31,158,342,179,342,179,356,158,356,CB,OTHER
32,112,342,119,342,119,352,112,352,1,OTHER
33,13,312,281,316,280,333,13,329,8934988030020 Dầu cái lân 1 NT,OTHER
34,241,290,291,290,291,306,241,306,31,000,OTHER
35,342,288,395,285,396,303,343,306,31,000,OTHER
36,153,286,183,286,183,301,153,301,GOI,OTHER
37,113,286,120,286,120,298,113,298,1,OTHER
38,241,238,289,238,289,253,241,253,59,000,OTHER
39,343,235,395,235,395,252,343,252,59,000,OTHER
40,153,233,185,233,185,248,153,248,GOI,OTHER
41,112,231,124,231,124,246,112,246,1,OTHER
42,24,178,101,183,100,197,23,192,Tôn háng,OTHER
43,106,151,315,159,314,182,105,174,HÓA ĐƠN BÁN HÀNG,OTHER
44,13,113,33,113,33,125,13,125,el,OTHER
45,109,91,307,91,307,117,109,117,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
46,288,63,288,89,131,91,130,64,MINIMART ANAN,SELLER
