1,486,1854,604,1854,604,1910,486,1910,18:11,TIMESTAMP
2,784,1862,880,1862,880,1892,784,1892,31667,OTHER
3,360,1751,592,1749,592,1783,360,1785,Hen gap lai,OTHER
4,298,1709,638,1709,638,1743,298,1743,Cam on Quy khach,OTHER
5,77,1574,377,1589,375,1623,75,1608,L. Ta Nam ngay:,OTHER
6,79,1538,224,1542,223,1570,78,1566,Ho ten:,OTHER
7,79,1493,222,1500,221,1530,78,1523,Ma so,OTHER
8,34,1447,718,1456,718,1490,34,1482,THONG TIN KHACH HANG THAN THIET:,OTHER
9,723,1413,886,1418,885,1454,722,1449,4,152.18,OTHER
10,32,1401,508,1407,508,1448,32,1441,Bao gom thue gigi 51:,OTHER
11,75,1357,492,1367,491,1410,74,1399,So may quet the: 02,OTHER
12,414,1331,510,1331,510,1359,414,1359,XXX,OTHER
13,77,1314,210,1319,209,1355,76,1351,So the,OTHER
14,703,1284,885,1293,883,1329,701,1320,87,196.00,OTHER
15,35,1274,320,1281,319,1315,34,1309,The ngan Hang,OTHER
16,35,1224,530,1237,529,1277,34,1264,Phuong thuc thanh toan:,OTHER
17,802,1184,828,1184,828,1220,802,1220,3,OTHER
18,323,1168,548,1177,547,1211,322,1202,luong hang:,OTHER
19,146,1161,235,1169,232,1205,143,1197,Tong,OTHER
20,701,1137,886,1144,885,1181,700,1174,87,196.00,OTHER
21,321,1121,549,1132,547,1169,319,1157,thanh toan:,OTHER
22,37,1118,304,1124,303,1160,36,1154,Tong so tun,OTHER
23,336,1041,386,1041,386,1076,336,1076,KG,OTHER
24,187,1029,305,1034,303,1076,185,1071,0.108,OTHER
25,721,1013,884,1020,883,1056,720,1049,3,166.00,OTHER
26,387,997,575,1006,573,1042,385,1033,29,500.00,OTHER
27,35,987,166,992,165,1028,34,1023,VATOSE,OTHER
28,35,940,679,968,677,1008,33,981,00000002950930 Ca rot valat kg,OTHER
29,338,917,384,917,384,949,338,949,KG,OTHER
30,191,906,301,911,299,945,189,940,0.280,OTHER
31,701,888,884,895,883,931,700,924,14,980 00,OTHER
32,389,872,575,881,573,917,387,908,53,500.00,OTHER
33,37,858,168,863,167,899,36,894,VATO5X,OTHER
34,39,810,723,847,721,887,37,850,00000002250180 Bong cai trang Kg,OTHER
35,310,788,386,788,386,824,310,824,KG,OTHER
36,191,778,303,783,301,819,189,814,0.234,OTHER
37,697,761,885,773,883,809,695,797,69,030.00,OTHER
38,367,745,575,759,573,793,365,779,295,000.00,OTHER
39,37,727,169,734,167,771,35,763,VATO53,OTHER
40,87,689,759,726,757,761,85,723,100002953104 Bap bo uc kg - VS990,OTHER
41,637,635,885,648,883,682,635,669,SO HD: 04036,OTHER
42,37,600,473,628,471,662,35,635,Nhan viên: Kien Dien,OTHER
43,669,599,884,605,883,640,668,633,00 18:09:58,OTHER
44,345,578,687,598,685,634,343,615,Ngay: 16/07/2020,OTHER
45,39,558,213,567,211,602,37,593,Quay: 08,OTHER
46,42,490,863,548,860,582,39,524,Co gia tri xuat hoa don gia trong ngay,OTHER
47,288,464,721,493,718,527,285,498,PHIEUTINH TIEN,OTHER
48,172,393,783,439,780,473,169,427,Website man congucoonmart,OTHER
49,106,343,845,395,842,435,103,383,Emallestrassocknace 3335600mart vn,OTHER
50,260,313,659,343,656,375,257,345,Hot line: 1900555565,OTHER
51,106,255,843,312,840,347,103,289,01:373075511033301553114,OTHER
52,264,224,659,258,656,294,261,260,191 Quang Trung T.,OTHER
53,224,124,712,124,712,214,224,214,Co.opMart XA LO HA NOI,ADDRESS
54,224,124,712,124,712,214,224,214,Co.opMart XA LO HA NOI,ADDRESS
55,501,76,595,83,593,103,499,96,hart,OTHER
56,175,30,618,30,618,114,175,114,co.op mart,SELLER
57,440,38,526,38,526,68,440,68,Is,OTHER
