1,121,852,498,845,499,868,122,876,000BB2222008002578,OTHER
2,195,761,469,758,469,781,196,784,Xin cảm ơn quý khách hàng',OTHER
3,212,725,405,725,405,745,212,745,Thu ngân: TRANTHU,OTHER
4,122,686,490,686,490,709,122,709,SO GD: 000BB2212008002578 Ngày,OTHER
5,72,645,225,645,225,664,72,664,Tiến trả lai VND,OTHER
6,513,642,581,642,581,662,513,662,16.000,OTHER
7,513,609,578,606,580,626,514,630,50,C00,OTHER
8,321,610,365,610,365,629,321,629,VND,OTHER
9,75,609,230,607,230,629,75,631,Tiến khách trá:,OTHER
10,67,567,323,567,323,602,67,602,Tổng cộng (đã gồm VAT),TOTAL_COST
11,513,572,577,572,577,593,513,593,34,00,OTHER
12,197,545,250,545,250,566,197,566,1.00,OTHER
13,68,541,154,541,154,565,68,565,Tổng số,OTHER
14,204,505,204,515,209,510,204,515,I,OTHER
15,507,500,571,500,571,522,507,522,34,000,OTHER
16,368,500,435,497,435,522,369,524,34,000,OTHER
17,253,499,293,499,293,521,253,521,Hop,OTHER
18,79,467,503,467,503,490,79,490,Kem que thập cẩm Tràng Tiến (Hộp 10 QUNG,OTHER
19,81,432,236,433,236,453,81,452,8938504350210,OTHER
20,83,398,560,399,560,425,83,424,Tên hang SL ĐVT Đơn giá Thanh tiến,OTHER
21,247,368,414,369,413,387,247,386,MS1:57006627,OTHER
22,195,317,466,320,466,351,194,347,HÓA ĐƠN BÁN HÀNG,OTHER
23,141,269,520,275,520,296,141,290,Giờ lâm việc: 7:30 10 22:00 hang mung,OTHER
24,97,242,569,248,569,265,97,259,Tel: 02033310991095000100011980,OTHER
25,183,208,488,208,488,237,183,237,Số 5 Cẩm Tây - Cẩm Phả - QN,ADDRESS
26,541,179,541,204,133,197,133,172,SIEU THI BACH HOA TONG HOP,SELLER
