1,87,370,278,375,278,389,87,384,Cám an quý khách Hẹn gặp lụi:,OTHER
2,337,332,337,352,290,352,290,332,45,000,TOTAL_COST
3,132,329,132,350,27,350,27,329,Cộng tiền hàng,TOTAL_COST
4,289,303,335,303,335,318,289,318,45 000,OTHER
5,148,297,197,301,196,319,147,315,45,000,OTHER
6,29,275,209,274,209,294,29,295,Banh Belgi sữa mềm 289g,OTHER
7,32,253,49,253,49,267,32,267,sl,OTHER
8,266,249,333,249,333,267,266,267,Thanh tiên,OTHER
9,150,250,198,250,198,264,150,264,Đơn giá,OTHER
10,334,196,334,215,237,215,237,196,Ngày: 11-08-2020,TIMESTAMP
11,33,200,111,195,111,208,33,213,SỐ SONS535,OTHER
12,152,192,179,192,179,210,152,210,L,OTHER
13,116,168,248,170,248,184,116,182,HÓA ĐƠN BÁN HÀNG,OTHER
14,110,121,255,121,255,134,110,134,0800322496 - 02438765210,OTHER
15,333,97,333,118,36,118,36,97,Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
16,255,76,255,96,109,96,109,76,CỬA HÀNG NĂM OÁNH,SELLER
