1,194,671,334,670,334,688,194,689,Thu ngân: BH3,OTHER
2,514,629,514,654,295,658,295,633,Ngày: 12/08/2020 - 12:42,TIMESTAMP
3,436,586,516,586,516,607,436,607,419,000,OTHER
4,6,582,142,584,142,605,6,603,Bn trả lại VND,OTHER
5,437,547,519,547,519,571,437,571,500,000,OTHER
6,243,547,290,547,290,570,243,570,VND,OTHER
7,4,539,152,541,152,565,4,563,Tiến khách trả:,OTHER
8,516,509,516,532,447,533,447,511,81,000,TOTAL_COST
9,117,505,117,536,0,538,0,507,Tổng cộng :,TOTAL_COST
10,160,482,175,482,175,503,160,503,3,OTHER
11,7,475,85,478,84,500,6,497,Tổng số,OTHER
12,175,438,182,438,182,443,175,443,L,OTHER
13,444,432,509,432,509,454,444,454,17,000,OTHER
14,302,432,369,432,369,453,302,453,17,000,OTHER
15,182,434,223,434,223,449,182,449,GOI,OTHER
16,131,435,141,435,141,450,131,450,1,OTHER
17,10,398,321,396,322,416,10,418,291020130000 bánh cùi dừa NT,OTHER
18,440,362,505,362,505,379,440,379,24,000,OTHER
19,301,360,368,360,368,380,301,380,24,000,OTHER
20,186,360,226,360,226,377,186,377,GOI,OTHER
21,132,361,145,361,145,376,132,376,1,OTHER
22,18,331,476,331,476,348,18,348,8938504306071 đậu phộng, đậu hà lan pure NC,OTHER
23,435,291,501,291,501,312,435,312,40,000,OTHER
24,300,291,368,291,368,312,300,312,40,000,OTHER
25,188,291,228,291,228,309,188,309,GOI,OTHER
26,136,292,149,292,149,309,136,309,1,OTHER
27,19,262,467,263,466,280,19,279,291038840000 bò khô miếng nguyên thanh tro,OTHER
28,277,230,484,231,484,251,277,250,Đơn giá Thành tiền,OTHER
29,135,190,396,192,396,219,135,217,HÓA ĐƠN BÁN HÀNG,OTHER
30,22,148,46,148,46,164,22,164,el,OTHER
31,385,114,385,139,141,143,141,118,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
32,364,81,365,107,165,110,165,84,MINIMART ANAN,SELLER
