1,111,764,266,763,266,777,111,778,Powered by POS365 VN,OTHER
2,116,740,261,739,261,753,116,754,Cam on và hẹn gắp laii,OTHER
3,27,706,254,700,254,717,27,723,Mói trâm sâu mươn nghin đóng chắc,OTHER
4,169,679,231,679,231,693,169,693,Tiền thua,OTHER
5,329,677,341,677,341,691,329,691,0,OTHER
6,133,655,230,655,230,668,133,668,Tiền khách đua,OTHER
7,290,654,338,654,338,665,290,665,160 000,OTHER
8,157,629,231,631,230,645,156,643,Tông cộng,OTHER
9,289,629,336,629,336,640,289,640,160,000,OTHER
10,157,605,232,605,232,619,157,619,Chiết khầu:,OTHER
11,327,605,339,605,339,619,327,619,o,OTHER
12,238,580,238,597,127,597,127,580,Cộng tiền hàng:,TOTAL_COST
13,340,577,340,594,286,594,286,577,160,000,TOTAL_COST
14,30,542,73,542,73,556,30,556,15,000,OTHER
15,219,543,229,543,229,554,219,554,1,OTHER
16,293,540,335,540,335,554,293,554,15.000,OTHER
17,31,518,152,518,152,531,31,531,Trà Đao Nha Dam,OTHER
18,33,498,74,498,74,508,33,508,25.000,OTHER
19,290,495,333,495,333,508,290,508,25,000,OTHER
20,218,496,226,496,226,507,218,507,1,OTHER
21,32,474,156,476,156,490,32,487,Cam Quê Dau Tay,OTHER
22,289,453,331,453,331,467,289,467,25 000,OTHER
23,213,460,222,452,230,460,221,468,1,OTHER
24,34,453,76,453,76,467,34,467,25.000,OTHER
25,34,428,164,432,164,449,33,445,Ôi Hồng Chanh Leo,OTHER
26,287,411,329,411,329,425,287,425,15.000,OTHER
27,218,410,228,415,222,426,212,421,1,OTHER
28,38,411,76,411,76,422,38,422,15,000,OTHER
29,35,388,151,390,150,404,35,402,Tra quát nha dam,OTHER
30,285,370,326,370,326,381,285,381,30.000,OTHER
31,215,370,224,370,224,381,215,381,3,OTHER
32,37,368,78,368,78,382,37,382,10.000,OTHER
33,36,346,102,349,101,363,35,360,Tra chanh,OTHER
34,283,329,325,329,325,343,283,343,50 000,OTHER
35,39,329,78,329,78,340,39,340,05000,OTHER
36,214,329,223,329,223,341,214,341,1,OTHER
37,38,306,172,310,172,323,37,320,Sua Chua Trần Châu,OTHER
38,257,291,320,288,321,302,258,305,Thanh tiến,OTHER
39,205,290,222,290,222,302,205,302,8L,OTHER
40,39,286,88,289,88,303,38,300,Đon gia,OTHER
41,40,250,80,250,80,264,40,264,Nha minh,OTHER
42,41,233,65,233,65,245,41,245,SOY,OTHER
43,40,213,110,216,109,230,39,227,remining,OTHER
44,119,192,250,192,250,207,119,207,11/08/2020 20:50,TIMESTAMP
45,67,173,298,178,298,192,67,187,001000000100,OTHER
46,114,157,250,160,250,174,114,171,HÔA GƠN BÁN HÀNG,OTHER
47,113,130,249,132,249,146,113,144,01000000119,OTHER
48,79,111,292,109,296,129,80,129,Tp Cẩm Phả - Quảng Ninh,ADDRESS
49,43,86,318,86,318,109,43,109,Hồ 7 khu Tân Lập 4- P.Cẩm Thủy,ADDRESS
50,148,72,215,72,215,89,148,89,MÔ MÔ,OTHER
