1,107,424,326,422,326,440,107,441,Cảm ơn quý khách. Hẹn gặp lại:,OTHER
2,37,378,161,378,161,407,37,407,Cộng tiền hàng,TOTAL_COST
3,335,379,395,379,395,398,335,398,92,000,TOTAL_COST
4,41,352,51,352,51,367,41,367,2,OTHER
5,337,344,394,346,393,364,336,362,92,000,OTHER
6,179,345,233,345,233,362,179,362,46,000,OTHER
7,38,319,177,316,177,334,39,337,Xuc xich CP8 cây,OTHER
8,39,290,61,290,61,308,39,308,SL,OTHER
9,313,285,389,285,389,303,313,303,Thanh tiến,OTHER
10,178,285,234,285,234,303,178,303,Dơn giá,OTHER
11,39,229,130,226,131,241,40,244,Sô: SONSSI 29,OTHER
12,387,225,388,239,276,243,276,227,Ngày: 10-08-2020,TIMESTAMP
13,136,194,289,192,289,208,136,210,HÓA DƠN BÁN HÀNG,OTHER
14,130,140,295,138,295,151,130,153,0864322446-02418765210,OTHER
15,34,112,386,112,386,136,34,136,Thôn Phú Thụy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
16,127,87,297,87,297,110,127,110,CỬA HÀNG NĂM OÁNH,SELLER
