1,206,1149,708,1171,706,1209,204,1187,Cám ơn quý khách, Hẹn gặp lại:,OTHER
2,865,1068,865,1107,720,1105,720,1066,116,000,TOTAL_COST
3,325,1047,324,1101,59,1097,59,1043,Cộng tiền hàng tiền hàng,TOTAL_COST
4,737,986,863,986,863,1025,737,1025,97,000,OTHER
5,372,975,492,980,491,1019,370,1014,97,000,OTHER
6,65,973,89,973,89,1006,65,1006,1,OTHER
7,71,906,446,918,444,956,70,944,Hạt nêm Aji-ngon 2ky,OTHER
8,739,851,860,851,860,889,739,889,16,000,OTHER
9,385,839,485,844,483,884,383,879,3,200,OTHER
10,70,840,93,840,93,874,70,874,5,OTHER
11,77,777,580,787,579,825,76,814,Mỳ 3 mien Tôm chua cay 75g,OTHER
12,755,720,855,720,855,756,755,756,3,000,OTHER
13,386,713,485,713,485,754,386,754,3,000,OTHER
14,73,713,101,713,101,750,73,750,1,OTHER
15,82,652,439,658,438,692,82,686,NGK Want Dâu 78ml,OTHER
16,375,595,497,591,498,631,376,635,Đơn giá,OTHER
17,82,592,127,592,127,628,82,628,SL,OTHER
18,669,588,854,584,854,629,670,632,Thành tiền,OTHER
19,851,463,850,501,595,497,596,459,Ngày: 11-08-2020,TIMESTAMP
20,88,458,279,461,279,491,87,488,Số: SON55425,OTHER
21,296,395,626,395,626,428,296,428,HÓA ĐƠN BÁN HÀNG,OTHER
22,286,284,641,284,641,303,286,303,0867322496-02438765210,OTHER
23,846,225,845,274,98,263,99,215,Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
24,647,177,646,219,280,213,280,171,CỬA HÀNG NĂM OÁNH,SELLER
