1,87,505,403,504,403,524,88,525,Xin cám ơn và hẹn gắp lai quý khách,OTHER
2,193,483,312,483,312,500,193,500,Thu ngân: BH2,OTHER
3,277,449,464,449,464,473,277,473,Ngày: 17/08/2020 - 15:20,TIMESTAMP
4,408,411,468,411,468,428,408,428,55,000,OTHER
5,239,408,279,408,279,427,239,427,VND,OTHER
6,29,406,156,406,156,423,29,423,Tiển khách trả:,OTHER
7,468,380,467,400,403,396,404,375,55,000,TOTAL_COST
8,27,377,118,377,118,400,27,400,Tổng cộng,TOTAL_COST
9,164,357,176,357,176,374,164,374,2,OTHER
10,29,353,100,353,100,371,29,371,Tổng số,OTHER
11,283,315,339,315,339,332,283,332,25,000,OTHER
12,184,316,217,316,217,330,184,330,CHA,OTHER
13,402,314,462,314,462,332,402,332,25,000,OTHER
14,139,316,151,316,151,330,139,330,1,OTHER
15,39,289,447,285,448,303,39,307,8934939005824 NRC thái power 100 chai 750 No,OTHER
16,186,258,219,258,219,272,186,272,HOP,OTHER
17,283,256,339,256,339,274,283,274,30,000,OTHER
18,143,259,151,259,151,271,143,271,1,OTHER
19,400,254,459,254,459,271,400,271,30,000,OTHER
20,43,231,434,227,435,245,43,249,8850006932308 KDR colgate maxfresh 200g NT,OTHER
21,48,204,448,199,449,219,48,224,Tên háng SL ĐVT Đơn giá Thành tiển,OTHER
22,141,171,367,168,367,189,141,192,HÓA ĐƠN BÁN HÀNG,OTHER
23,31,129,63,129,63,148,31,148,Tel:,OTHER
24,145,125,142,103,363,100,363,121,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
25,167,70,340,70,340,95,167,95,MINIMART ANAN,SELLER
