1,50,978,558,978,558,1002,50,1002,001000001001400,OTHER
2,117,944,493,946,493,968,117,965,CẦU ƠN QUÝ KHÁCH VÀ TÊN GẤP LAI,OTHER
3,139,852,463,853,463,875,139,874,Chi xuất nóa đơn trong ngày,OTHER
4,154,762,462,762,462,783,154,783,(Giá đã bao gồm thuế gigt),OTHER
5,500,733,567,733,567,754,500,754,7.000,OTHER
6,54,730,201,730,201,754,54,754,VIÊN MÀ LẠI,OTHER
7,491,704,565,704,565,721,491,721,20.000,OTHER
8,66,703,163,703,163,724,66,724,TIÊN MẬT,OTHER
9,490,673,565,673,565,694,490,694,13.000,OTHER
10,55,671,222,671,222,691,55,691,VIÊN MACH TRẢ,OTHER
11,479,643,554,643,554,663,479,663,4.000,OTHER
12,56,640,249,640,249,665,56,665,NGUYỄN THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG TH,OTHER
13,566,614,565,635,484,631,485,610,13.000,TOTAL_COST
14,55,605,319,605,319,637,55,637,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
15,488,555,560,555,560,572,488,572,2.000,OTHER
16,416,528,424,528,424,543,416,543,1,OTHER
17,498,523,561,523,561,544,498,544,8.500,OTHER
18,294,523,356,523,356,545,294,545,8.500,OTHER
19,219,495,297,495,297,516,219,516,450 mi,OTHER
20,60,471,77,471,77,481,60,481,D,OTHER
21,485,464,559,464,559,485,485,485,2.00,OTHER
22,415,441,424,441,424,453,415,453,0,OTHER
23,294,437,355,437,355,459,294,459,8.500,OTHER
24,57,439,208,439,208,456,57,456,CARONACO711,OTHER
25,496,435,559,435,559,456,496,456,e.so,OTHER
26,56,408,238,408,238,429,56,429,Assoter passion,OTHER
27,236,407,318,407,318,429,236,429,450 ai,OTHER
28,270,377,344,377,344,402,270,402,ơn giá,OTHER
29,57,377,154,377,154,402,57,402,một nữ,OTHER
30,387,377,416,377,416,402,387,402,s,OTHER
31,470,376,546,373,547,398,471,401,1. tiến,OTHER
32,60,323,152,323,152,343,60,343,Quy Ton,OTHER
33,400,321,555,319,555,341,401,343,MANOMINOIS,OTHER
34,423,292,543,290,543,312,423,314,mocoreves,OTHER
35,58,292,361,293,356,317,56,316,Ngày bán: 09/08/2020 13:05,TIMESTAMP
36,217,267,386,267,386,284,217,284,THÔA ÔN NĂN TÂNG,OTHER
37,311,210,452,210,452,234,311,234,Bannaugan,OTHER
38,277,176,485,176,485,205,277,205,TP. Cẩm Phả, T.Quảng Ninh,ADDRESS
39,222,176,220,213,55,205,57,168,VinCommerce,SELLER
40,252,145,516,145,516,173,252,173,Số 86 Đường Trần Phú, P.Cẩm Tây,ADDRESS
41,298,111,471,111,471,143,298,143,VM+ QNH 86 Trần Phú,ADDRESS
