1,131,684,312,688,312,705,131,701,Powered by POS365 VN,OTHER
2,138,658,306,661,306,678,138,675,Cám ơn và hẹn gặp lai",OTHER
3,37,606,228,608,228,625,37,624,Hai mươi nghin đồng chắn,OTHER
4,392,584,404,584,404,600,392,600,0,OTHER
5,213,577,285,581,284,599,212,595,Tiến thừa,OTHER
6,352,556,402,556,402,570,352,570,20 000,OTHER
7,170,549,285,553,285,570,170,565,Tiến khách đưa,OTHER
8,402,524,402,541,351,541,351,524,20,000,TOTAL_COST
9,286,521,286,543,199,543,199,521,Tổng cộng:,TOTAL_COST
10,390,498,402,498,402,514,390,514,0,OTHER
11,199,493,286,496,286,513,199,510,Chiết khấu:,OTHER
12,350,470,401,470,401,486,350,486,20,000,OTHER
13,166,466,284,468,284,486,166,484,Cộng tiên hang:,OTHER
14,347,422,401,422,401,439,347,439,20 000,OTHER
15,261,423,270,423,270,436,261,436,2,OTHER
16,43,421,93,421,93,435,43,435,10 000,OTHER
17,43,394,122,396,122,410,43,408,Trà chanh,OTHER
18,316,371,398,371,398,388,316,388,Thành tiền,OTHER
19,250,371,270,371,270,388,250,388,SL,OTHER
20,45,368,106,368,106,385,45,385,Đơn giá,OTHER
21,45,321,97,318,98,336,46,339,Địa chi,OTHER
22,48,298,84,298,84,312,48,312,SĐT,OTHER
23,49,273,132,277,132,291,49,287,Khách háng,OTHER
24,305,245,305,263,149,263,149,245,13/08/2020 - 18:46,TIMESTAMP
25,105,221,344,226,344,240,105,235,SỐ HD1 30820-0007 BAN,OTHER
26,140,198,309,201,309,218,140,215,HÓA ĐƠN BẮN HẮNG,OTHER
27,140,164,310,164,310,181,140,181,ĐT 0858 931 931,OTHER
28,361,135,361,159,98,159,98,135,Tp Cẩm Phả - Quảng Ninh,ADDRESS
29,389,108,389,135,53,135,53,108,Tổ 7 khu Tân Lập 4 - P. Cẩm Thủy,ADDRESS
30,271,86,271,109,183,109,183,86,PHÓ MỎ,SELLER
