1,231,1133,710,1137,710,1174,231,1169,Cám ơn quý khách. Hẹn gặp lại,OTHER
2,356,1037,354,1085,73,1090,90,1031,Cộng tiền hàng,TOTAL_COST
3,731,1026,863,1026,867,1085,731,1085,74,000 74,000 74,000,TOTAL_COST
4,392,961,505,961,505,999,392,999,34,000,OTHER
5,91,964,119,964,119,997,91,997,1,OTHER
6,733,958,850,958,850,996,733,996,34,000,OTHER
7,101,901,497,904,496,939,101,936,Kẹo dẻo xoắn Jelly 250g,OTHER
8,404,838,494,838,494,871,404,871,6,500,OTHER
9,728,836,840,836,840,870,728,870,26,000,OTHER
10,102,840,125,840,125,873,102,873,4,OTHER
11,110,781,576,778,576,810,110,813,Sữa CGHL 20+ socola 180ml,OTHER
12,405,716,494,716,494,749,405,749,9,000,OTHER
13,111,720,133,720,133,751,111,751,1,OTHER
14,739,713,833,710,834,745,740,748,9,000,OTHER
15,117,665,451,665,451,697,117,697,XX Cao bồi vàng 76g,OTHER
16,119,607,142,607,142,637,119,637,1,OTHER
17,404,602,494,602,494,637,404,637,5,000,OTHER
18,736,596,827,596,827,630,736,630,5,000,OTHER
19,126,554,472,554,472,585,126,585,Kẹo SeaWorld Gummy,OTHER
20,395,497,502,500,501,530,394,527,Đơn giá,OTHER
21,123,499,168,499,168,531,123,531,SL,OTHER
22,658,486,818,475,821,513,661,524,Thành tiền,OTHER
23,136,386,306,386,306,413,136,413,Số: SON55381,OTHER
24,586,360,815,360,815,414,586,414,Ngày: 11-08-2020,TIMESTAMP
25,320,331,614,319,615,352,322,364,HÓA DƠN BÁN HÀNG,OTHER
26,310,152,622,135,623,167,311,185,CỬA HANG NĂM OÁNH,OTHER
