1,173,742,273,744,273,761,172,759,Thu ngân: BHS,OTHER
2,353,681,402,684,402,701,352,698,29,657,OTHER
3,33,682,202,679,203,696,33,700,Gia trị thưởng tích lũy:,OTHER
4,33,659,148,655,148,671,33,676,Hạng hiện thời,OTHER
5,361,633,403,633,403,648,361,648,2,642,OTHER
6,33,633,146,631,146,645,33,647,Điểm hiện thời:,OTHER
7,33,607,113,606,113,620,33,621,Điêm mua:,OTHER
8,385,605,403,605,403,623,385,623,11,OTHER
9,36,580,165,579,165,596,36,597,(0) cao thị nhung,OTHER
10,35,556,217,552,217,566,35,570,Mã thể: A10000000359,OTHER
11,343,512,403,515,403,532,343,529,112,000,OTHER
12,206,512,242,512,242,530,206,530,VND,OTHER
13,30,513,142,513,142,527,30,527,Tiển khách trả:,OTHER
14,97,486,97,508,29,508,29,486,Tổng tiền,TOTAL_COST
15,402,489,402,506,344,506,344,489,112,000,TOTAL_COST
16,32,457,115,457,115,474,32,474,Tổng công,OTHER
17,344,457,400,457,400,471,344,471,112,000,OTHER
18,139,436,160,436,160,452,139,452,16,OTHER
19,33,435,93,435,93,449,33,449,Tổng số,OTHER
20,349,402,398,402,398,418,349,418,13,000,OTHER
21,257,402,295,402,295,416,257,416,6,500,OTHER
22,126,403,138,403,138,417,126,417,2,OTHER
23,164,401,194,401,194,415,164,415,GOI,OTHER
24,37,379,381,376,381,393,37,396,8934673501354 Sữa tú fino không đường VN NT,OTHER
25,164,353,192,353,192,364,164,364,GOI,OTHER
26,37,352,136,351,136,365,37,366,Giá bán 10,OTHER
27,347,350,396,350,396,364,347,364,33,000,OTHER
28,256,351,295,351,295,365,256,365,3,300,OTHER
29,38,329,125,329,125,343,38,343,Giá đăng ký,OTHER
30,257,327,297,327,297,342,257,342,3,500,OTHER
31,38,304,382,301,382,319,38,321,8934673703369 sửa đâu nành goldsoy 200ml NT,OTHER
32,166,278,193,278,193,291,166,291,GOI,OTHER
33,126,279,136,279,136,290,126,290,z,OTHER
34,248,278,294,275,295,290,249,293,17,000,OTHER
35,347,275,394,275,394,290,347,290,34,000,OTHER
36,38,253,338,250,338,268,38,271,8934755010156 BVS diana mỏng cánh NT,OTHER
37,164,227,193,227,193,241,164,241,CAI,OTHER
38,247,226,295,224,296,242,248,244,16,000,OTHER
39,346,225,395,225,395,241,346,241,32,000,OTHER
40,125,226,137,226,137,240,125,240,2,OTHER
41,38,203,323,201,323,218,38,220,8934755010026 BVS Diana dày cánh NT,OTHER
42,121,149,319,148,319,169,121,170,HÓA ĐƠN BÁN HÀNG,OTHER
43,25,111,54,114,52,129,24,126,Tel:,OTHER
44,312,85,312,106,122,106,122,85,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
45,298,59,298,79,142,79,142,59,MINIMART ANAN,SELLER
