1,149,817,268,817,268,834,149,834,Thu ngân: BH3,OTHER
2,235,774,424,774,424,803,235,803,Ngày: 15/08/2020 - 16:48,TIMESTAMP
3,2,743,182,743,182,760,2,760,lá trị thưởng tích lũy:,OTHER
4,362,739,418,739,418,757,362,757,37,526,OTHER
5,2,714,119,711,120,728,2,731,ạng hiện thời:,OTHER
6,0,676,120,679,119,699,0,696,liểm hiện thời:,OTHER
7,368,676,416,673,417,695,369,698,1,035,OTHER
8,0,648,80,648,80,666,0,666,Điêm mua:,OTHER
9,394,645,415,645,415,664,394,664,11,OTHER
10,2,617,137,617,137,634,2,634,00 dào dương tri th,OTHER
11,0,589,202,586,202,603,0,606,Mã thỏ: A10000000579,OTHER
12,0,544,113,544,113,562,0,562,Biển trả lại VND,OTHER
13,354,543,411,543,411,561,354,561,34,000,OTHER
14,345,514,411,514,411,531,345,531,150,000,OTHER
15,194,514,232,514,232,533,194,533,VND,OTHER
16,2,513,119,513,119,527,2,527,Tiền khách trả:,OTHER
17,98,491,97,510,-4,505,-3,486,Tổng cộng :,TOTAL_COST
18,417,484,415,506,340,502,341,480,116,000,TOTAL_COST
19,128,467,141,467,141,484,128,484,5,OTHER
20,0,460,65,463,65,481,0,479,Tổng số,OTHER
21,244,431,293,431,293,447,244,447,14,000,OTHER
22,350,428,404,428,404,446,350,446,14,000,OTHER
23,148,429,180,429,180,445,148,445,GOI,OTHER
24,105,430,114,430,114,443,105,443,1,OTHER
25,7,403,263,405,263,421,7,419,291015760000 DG Dove dây NT,OTHER
26,243,379,292,379,292,393,243,393,14,000,OTHER
27,153,378,181,378,181,391,153,391,GOI,OTHER
28,108,378,117,378,117,389,108,389,1,OTHER
29,348,375,401,373,402,390,349,392,14,000,OTHER
30,13,351,260,353,260,370,13,368,291002680000 DG clear dây NT,OTHER
31,242,327,293,327,293,343,242,343,48,000,OTHER
32,158,327,179,327,179,341,158,341,ch,OTHER
33,110,326,119,326,119,337,110,337,1,OTHER
34,345,323,400,319,401,336,346,340,48,000,OTHER
35,242,274,293,274,293,290,242,290,28,000,OTHER
36,154,274,185,274,185,288,154,288,HOP,OTHER
37,114,277,122,277,122,284,114,284,1,OTHER
38,344,270,398,268,399,285,345,288,28,000,OTHER
39,112,228,123,225,126,235,115,239,1,OTHER
40,243,225,292,225,292,240,243,240,12,000,OTHER
41,154,224,186,224,186,238,154,238,HOP,OTHER
42,345,219,397,215,398,233,346,237,12,000,OTHER
43,33,179,105,183,104,198,32,194,Tên hàng,OTHER
44,124,179,386,171,387,190,125,198,Số ĐVT Đơn giá Thành tiên,OTHER
45,113,151,317,146,317,166,114,172,HÓA ĐƠN BẢN HÀNG,OTHER
46,29,123,42,123,42,132,29,132,let,OTHER
47,112,87,313,87,313,114,112,114,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
48,136,64,298,64,298,84,136,84,MINIMART ANAN,SELLER
