1,59,704,415,698,416,722,59,728,Xin cám ơn và hen gắp lại quý khách,OTHER
2,179,674,311,670,312,692,180,695,Thu ngân: BH3,OTHER
3,474,634,474,659,277,659,277,634,Ngày: 12/08/2020 - 16:22,TIMESTAMP
4,2,588,135,591,134,611,2,608,biển trả lại VND,OTHER
5,411,588,475,586,476,607,412,610,96,500,OTHER
6,226,555,271,555,271,577,226,577,VND,OTHER
7,405,554,476,554,476,572,405,572,200,000,OTHER
8,1,551,140,551,140,571,1,571,Tiền khách trả:,OTHER
9,477,520,477,542,405,542,405,520,103,500,TOTAL_COST
10,94,518,94,545,-4,545,-4,518,Tổng tiền,TOTAL_COST
11,1,480,107,480,107,501,1,501,Tổng cộng,OTHER
12,406,480,476,480,476,498,406,498,103,500,OTHER
13,136,452,162,452,162,473,136,473,24,OTHER
14,1,449,80,449,80,471,1,471,Tổng số,OTHER
15,409,407,471,407,471,428,409,428,51,000,OTHER
16,292,408,342,408,342,426,292,426,4,250,OTHER
17,7,408,84,408,84,425,7,425,Giá bán,OTHER
18,172,408,208,408,208,423,172,423,HOP,OTHER
19,109,408,133,408,133,423,109,423,12,OTHER
20,293,377,342,377,342,395,293,395,4,500,OTHER
21,8,376,123,376,123,396,8,396,Giá đăng ký,OTHER
22,11,347,396,348,396,366,11,365,8934673137324 Sữa ADM đường 110ml NT,OTHER
23,405,314,463,314,463,332,405,332,52,500,OTHER
24,289,314,339,314,339,332,289,332,4,375,OTHER
25,12,313,89,313,89,330,12,330,Giá bán,OTHER
26,173,313,209,313,209,328,173,328,HOP,OTHER
27,112,313,136,313,136,328,112,328,12,OTHER
28,290,285,340,285,340,303,290,303,4,500,OTHER
29,14,281,126,284,125,301,14,299,Giá đăng ký,OTHER
30,17,253,374,256,374,274,17,270,8936012060843 Sữa Mốc Châu 10ml NT,OTHER
31,245,226,447,225,447,243,245,244,Đơn giá Thành tiền,OTHER
32,186,227,227,227,227,242,186,242,ĐVT,OTHER
33,138,227,183,227,183,241,138,241,SL,OTHER
34,22,222,141,227,140,246,22,240,Tôn hàng,OTHER
35,123,186,367,190,366,214,122,210,HÓA ĐƠN BÁN HÀNG,OTHER
36,7,141,35,141,35,157,7,157,Tel:,OTHER
37,356,110,356,139,123,139,123,110,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
38,339,77,339,102,151,102,151,77,MINIMART ANAN,SELLER
