1,84,647,421,644,421,661,84,664,Xin cấm ơn và hen gập lại quý khách,OTHER
2,196,621,323,619,323,637,196,638,Thu ngân: BHS,OTHER
3,288,610,288,581,487,580,487,609,Ngày: 16/08/2020-14:51,TIMESTAMP
4,416,542,487,542,487,560,416,560,136,000,OTHER
5,248,541,307,541,307,562,248,562,CARD,OTHER
6,114,511,112,537,15,529,17,503,Tổng cộng,TOTAL_COST
7,410,504,492,504,492,532,410,532,136,000,TOTAL_COST
8,163,482,178,482,178,505,163,505,8,OTHER
9,18,479,97,479,97,502,18,502,Tổng số,OTHER
10,185,438,224,438,224,456,185,456,HOP,OTHER
11,421,436,483,436,483,457,421,457,13,000,OTHER
12,304,438,354,435,355,457,305,459,6,500,OTHER
13,139,439,151,439,151,455,139,455,L,OTHER
14,32,410,358,404,359,424,32,430,8934563619138 Mì cốc moder lầu nt,OTHER
15,190,377,225,377,225,391,190,391,GOI,OTHER
16,144,378,152,378,152,390,144,390,1,OTHER
17,294,374,354,374,354,391,294,391,35,000,OTHER
18,418,373,479,372,480,389,418,391,35,000,OTHER
19,35,347,439,341,439,362,35,367,291030710000 thạch long hải caramen 1kg No,OTHER
20,162,317,191,317,191,328,162,328,Parted,OTHER
21,191,315,228,315,228,330,191,330,GOT,OTHER
22,146,315,158,315,158,329,146,329,z,OTHER
23,293,313,352,311,353,329,294,331,20,000,OTHER
24,416,310,477,310,477,328,416,328,40,000,OTHER
25,41,286,414,282,414,301,41,305,8934595051173 bánh quế mini waf 330g NT,OTHER
26,194,255,228,255,228,270,194,270,GOI,OTHER
27,295,253,352,251,353,269,295,270,16,000,OTHER
28,148,254,160,254,160,270,148,270,s,OTHER
29,413,251,473,248,474,266,414,268,48,000,OTHER
30,52,198,171,204,170,221,51,216,Tên hang,OTHER
31,160,201,461,193,462,212,161,220,SL ĐVT Đơn giá Thanh tiển,OTHER
32,146,166,380,161,381,186,147,190,HÓA ĐƠN BÁN HÀNG,OTHER
33,36,124,67,124,67,143,36,143,Tel,OTHER
34,149,96,374,96,374,120,149,120,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
35,176,89,176,67,353,67,353,87,MINIMART ANAN,SELLER
