1,129,706,299,706,299,719,129,719,Powered by POS365 VN,OTHER
2,133,680,296,681,296,695,133,694,Cảm ơn và hẹn gặp lạil,OTHER
3,33,640,225,638,225,655,33,658,Bôn mươi nghin đồng chắn,OTHER
4,377,614,387,614,387,627,377,627,0,OTHER
5,204,611,273,611,273,628,204,628,Tiền thưa,OTHER
6,337,585,385,585,385,600,337,600,40 000,OTHER
7,161,583,272,584,272,601,161,600,Tiền khách đua,OTHER
8,387,557,387,572,334,572,334,557,40,000,TOTAL_COST
9,274,555,274,576,187,576,187,555,Tổng cộng:,TOTAL_COST
10,189,529,272,529,272,546,189,546,Chiết khấu:,OTHER
11,370,530,383,530,383,546,370,546,o,OTHER
12,155,502,270,503,270,521,155,519,Cộng tiền hàng,OTHER
13,333,503,382,503,382,518,333,518,40,000,OTHER
14,37,461,84,461,84,475,37,475,15,000,OTHER
15,332,459,381,459,381,474,332,474,15.000,OTHER
16,244,460,258,460,258,474,244,474,1,OTHER
17,38,434,117,437,116,451,37,448,banh tráng,OTHER
18,37,410,85,410,85,424,37,424,25 000,OTHER
19,330,408,377,408,377,423,330,423,25,000,OTHER
20,244,408,258,408,258,423,244,423,1,OTHER
21,37,386,91,386,91,400,37,400,Khô gà,OTHER
22,38,359,95,359,95,374,38,374,Đơn gia,OTHER
23,300,357,376,357,376,372,300,372,Thành tiền,OTHER
24,234,357,255,357,255,374,234,374,SL,OTHER
25,36,313,86,311,87,326,37,328,Đia chi,OTHER
26,39,291,72,291,72,305,39,305,SDT,OTHER
27,40,267,119,270,118,285,39,282,Khach hang,OTHER
28,287,239,287,255,136,255,136,239,13/08/2020 - 22:50,TIMESTAMP
29,71,216,346,215,347,233,71,234,STRIDIONSO DOAN BAN MANG VỀ A,OTHER
30,127,194,291,194,291,211,127,211,HỒA ĐƠN BẮN HĂNG,OTHER
31,125,160,290,160,290,177,125,177,01 0388 931 931,OTHER
32,333,131,333,155,81,155,81,131,Tp.Cẩm Phả - Quảng Ninh,ADDRESS
33,41,108,363,108,363,135,41,135,Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy,ADDRESS
34,251,84,251,107,163,107,163,84,PHỐ MỎ,SELLER
