1,66,443,338,442,338,454,66,455,Liên câm an và han gập lai quy khach,OTHER
2,158,427,262,427,262,440,158,440,Thu ngan: BHS,OTHER
3,395,396,396,416,234,421,233,401,Ngày: 09/08/2020 - 21:20,TIMESTAMP
4,349,369,402,369,402,385,349,385,49,002,OTHER
5,197,369,234,369,234,386,197,386,VND,OTHER
6,8,368,121,368,121,381,8,381,Tiền khách trai,OTHER
7,403,341,404,359,350,361,349,342,49,002,TOTAL_COST
8,82,339,82,361,3,364,2,342,Tổng tiền,TOTAL_COST
9,4,309,90,312,90,330,3,326,Tổng cộng,OTHER
10,348,307,402,307,402,324,348,324,49,002,OTHER
11,126,289,138,289,138,304,126,304,6,OTHER
12,5,284,66,286,65,303,4,301,Tổng số,OTHER
13,7,252,69,252,69,265,7,265,Giá bán,OTHER
14,102,252,111,252,111,262,102,262,6,OTHER
15,346,249,397,249,397,264,346,264,49,002,OTHER
16,244,248,288,248,288,265,244,265,8,167,OTHER
17,142,249,175,249,175,263,142,263,LON,OTHER
18,7,222,100,222,100,239,7,239,Giá đăng ký,OTHER
19,244,220,289,220,289,238,244,238,8,500,OTHER
20,8,198,355,195,355,209,8,212,291008250000 nước yến khánh hòa 190ml nt,OTHER
21,12,169,386,165,386,185,12,189,Tên hàng sl ĐVT Đơn giá Thánh tiên,OTHER
22,99,136,310,134,310,156,99,158,HÓA ĐƠN BẤN HÀNG,OTHER
23,2,103,29,103,29,118,2,118,Tel,OTHER
24,299,70,299,89,104,96,104,76,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
25,279,47,281,64,126,68,126,51,MINIMART ANAN,SELLER
