1,12,482,303,489,303,502,11,495,Hot line 02471066066 webs tte revinmart.com,OTHER
2,51,464,268,471,267,485,51,478,CẢM ƠN QUÝ KHÁCH VÀ HỆN GẮP LAI,OTHER
3,65,413,252,419,252,431,64,426,chí xuất nóa đơn trong ngay,OTHER
4,72,363,251,364,251,377,72,376,(Gia đã bao gồm thuế gigt),OTHER
5,301,349,311,349,311,360,301,360,o,OTHER
6,15,342,99,346,98,360,14,356,TIẾN TRÃ LAI,OTHER
7,266,332,311,332,311,345,266,345,99.400,OTHER
8,20,325,81,329,81,343,19,339,TIÊN MÁT,OTHER
9,267,316,309,316,309,327,267,327,99.400,OTHER
10,18,310,116,313,115,326,18,323,TIẾN KHÁCH TRÃ,OTHER
11,293,299,305,299,305,308,293,308,0,OTHER
12,19,292,129,297,129,309,19,305,TỔNG TIẾN Ả GIĂM,OTHER
13,316,273,316,296,256,296,256,273,99,400,TOTAL_COST
14,169,272,169,294,14,294,14,273,HỒNG TIỀN PHẢI T.TOÁN,TOTAL_COST
15,265,247,309,247,309,260,265,260,99 400,OTHER
16,151,248,190,248,190,258,151,258,49.700,OTHER
17,224,248,234,248,234,258,224,258,2,OTHER
18,18,245,107,246,107,257,18,255,8936064670069,OTHER
19,18,227,198,229,198,243,18,241,Trứng và ta quê gia 10 quả,OTHER
20,258,213,302,210,303,225,259,228,Nguyên,OTHER
21,211,214,227,214,227,225,211,225,sl,OTHER
22,144,214,184,214,184,224,144,224,đn gia,OTHER
23,19,209,75,211,74,225,19,222,vật hàng,OTHER
24,220,179,307,179,307,192,220,192,NGONG 00022144,OTHER
25,22,178,73,178,73,189,22,189,Quây 001,OTHER
26,232,163,300,163,300,174,232,174,1100000000,OTHER
27,195,160,195,175,19,176,19,160,Ngày bán: 13/08/2020 10:31,TIMESTAMP
28,108,144,211,146,211,159,108,157,HÔN ĐN BĂN HÀNH,OTHER
29,166,113,249,114,249,128,165,127,1247101000000,OTHER
30,265,94,265,110,152,111,152,95,TP. Cẩm Phả, Quảng Ninh,ADDRESS
31,113,88,113,114,20,115,20,88,Vit Commerce,SELLER
32,278,77,278,91,141,91,141,78,Số 1060-1062 Đường Trần Phú,ADDRESS
33,275,57,275,75,145,75,144,58,VM+QNH 1060-1062 Trần Phú,ADDRESS
