1,116,590,362,597,361,617,116,611,Cám ơn quý khách, Hẹn gập lại:,OTHER
2,439,545,439,571,376,571,376,545,22,300 22,300,TOTAL_COST
3,176,540,176,571,41,571,41,540,Cộng tiền hàng,TOTAL_COST
4,387,506,437,509,436,530,386,527,5.000,OTHER
5,44,510,56,510,56,525,44,525,1,OTHER
6,203,505,252,505,252,522,203,522,5,000,OTHER
7,43,471,309,473,309,497,43,495,GVHC Knom Thu kho tau 285,OTHER
8,387,439,436,442,435,461,386,458,8,300,OTHER
9,46,443,58,443,58,460,46,460,1,OTHER
10,205,439,252,439,252,457,205,457,8,300,OTHER
11,49,410,229,409,230,427,49,428,TL Tháng Long Môm,OTHER
12,384,377,433,377,433,395,384,395,9,000,OTHER
13,50,379,60,379,60,393,50,393,J,OTHER
14,205,375,253,375,253,393,205,393,9,000,OTHER
15,50,342,233,346,232,366,50,362,TL Thăng Long Cứng,OTHER
16,343,314,429,311,430,331,344,333,Thanh tiền,OTHER
17,199,314,259,311,260,333,200,335,Đơn giới,OTHER
18,50,314,73,314,73,330,50,330,SL,OTHER
19,160,270,176,270,176,280,160,280,m,OTHER
20,432,247,432,269,305,269,305,247,Ngày: 11-08-2020,TIMESTAMP
21,54,244,154,249,153,265,54,261,Số: SONS5324,OTHER
22,159,217,321,217,321,234,159,234,HÓA ĐƠN BÁN HÀNG,OTHER
23,152,160,328,160,328,173,152,173,0869322496-02438765210,OTHER
24,333,108,333,127,152,127,152,108,CỬA HÀNG NĂM OÁNH,SELLER
