1,82,747,613,737,614,772,83,781,Xin cám ơn và hen gấp lai quý khách,OTHER
2,261,708,462,703,463,734,262,739,Thu ngân: BH2,OTHER
3,714,645,714,683,408,682,408,643,Ngày: 13/08/2020 - 02:02,TIMESTAMP
4,332,584,400,584,400,613,332,613,VND,OTHER
5,4,581,199,581,199,608,4,608,tiển khách tra:,OTHER
6,607,582,714,578,715,610,609,614,130,000,OTHER
7,156,527,155,568,-2,567,-2,526,Tổng cộng:,TOTAL_COST
8,728,524,728,562,606,561,607,523,130,000,TOTAL_COST
9,213,495,233,495,233,524,213,524,1,OTHER
10,1,485,105,487,104,523,0,521,tổng số,OTHER
11,600,423,707,423,707,454,600,454,130,000,OTHER
12,401,424,509,424,509,452,401,452,130.000,OTHER
13,244,425,303,422,304,448,246,451,GOE,OTHER
14,169,426,185,426,185,450,169,450,1,OTHER
15,3,379,638,377,638,404,3,407,0911003450000 hat điểu kim thanh gó 500g Nt,OTHER
16,6,331,141,333,141,360,6,358,Tên hàng,OTHER
17,385,328,496,330,495,358,385,356,Đơn gia,OTHER
18,535,329,681,329,681,353,535,353,Thành tiển,OTHER
19,265,328,329,328,329,357,265,357,ĐVT,OTHER
20,190,330,232,327,234,355,191,358,SL,OTHER
21,160,266,557,266,557,310,160,310,HÓA ĐƠN BÁN HÀNG,OTHER
22,1,204,26,204,26,226,1,226,el:,OTHER
23,549,151,548,187,153,185,153,149,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
24,515,96,515,139,202,137,202,95,MINIMART ANAN,SELLER
