1,63,1263,429,1261,429,1289,63,1290,hang tai Co.opfood, Hen gap lai,OTHER
2,36,1229,475,1229,475,1253,36,1253,Tran trong cam on Quy Khach da den mua,OTHER
3,48,1128,357,1131,357,1156,47,1153,Diem su dung trong hoa don:,OTHER
4,49,1095,205,1102,204,1123,48,1116,Diem dau ngay:,OTHER
5,49,1065,132,1065,132,1088,49,1088,Ho ten:,OTHER
6,49,1035,130,1039,129,1058,48,1055,Ma 50,OTHER
7,31,1005,390,1009,390,1029,31,1024,THONG TIN KHÁCH HANG THAN THIET:,OTHER
8,391,976,485,974,485,999,392,1001,1,737.62,OTHER
9,31,975,276,975,276,998,31,998,Bao gom thue GTGT 55:,OTHER
10,373,915,483,915,483,939,373,939,-13,510.00,OTHER
11,180,916,254,916,254,932,180,932,Suzzing,OTHER
12,33,915,178,915,178,934,33,934,Tien thai lai,OTHER
13,380,856,481,856,481,875,380,875,50,000.00,OTHER
14,32,856,120,856,120,875,32,875,Tien mat,OTHER
15,32,824,287,824,287,847,32,847,Phuong thuc thanh toan:,OTHER
16,92,767,297,767,297,786,92,786,Tong so luong hang:,OTHER
17,432,767,444,767,444,782,432,782,1,OTHER
18,296,731,296,762,31,762,31,731,Tong so tien thanh toan:,TOTAL_COST
19,478,733,478,760,371,760,371,733,36,490.00,TOTAL_COST
20,188,681,212,681,212,698,188,698,KG,OTHER
21,117,681,170,681,170,696,117,696,0.410,OTHER
22,216,655,308,655,308,670,216,670,39,000.00,OTHER
23,375,652,471,652,471,671,375,671,36,490.00,OTHER
24,40,652,107,652,107,671,40,671,VATO5Z,OTHER
25,196,626,338,624,339,644,197,645,Canh ga Kg-CP,OTHER
26,43,623,194,626,193,644,43,641,00000002953571,OTHER
27,193,571,193,545,365,543,366,570,Ngày: 19/09/2019,TIMESTAMP
28,377,542,468,542,468,569,377,569,18:18:18:30,TIMESTAMP
29,48,544,133,547,132,568,47,565,Quay: 02,OTHER
30,49,494,453,497,453,516,49,514,Co gia tri xuat Hoa don GTCT trong ngay,OTHER
31,228,473,316,473,316,487,228,487,TINH,OTHER
32,341,472,417,472,417,487,341,487,TIEN,OTHER
33,117,471,213,471,213,486,117,486,PHIEU,OTHER
34,117,419,429,421,429,439,117,437,Websiter www saigonco-op.com vn,OTHER
35,127,396,419,396,419,414,127,414,Email: ofthekparkecoopfood,vn,OTHER
36,106,368,434,368,434,393,106,393,P. Phu La, Q. Ha Dong, Tp Ha Noi,ADDRESS
37,137,344,410,344,410,366,137,366,tai Khu do thi moi Van Phu,,ADDRESS
38,424,273,453,270,455,281,426,284,gra,OTHER
39,141,249,394,243,394,262,141,267,Ma so thue: 0309129418?115,OTHER
40,151,225,389,219,391,239,151,245,Co.op Food HN THE K-PARK,SELLER
41,329,201,329,221,209,221,209,201,Saigon Co.op,SELLER
