1,72,708,310,713,310,726,71,722,Xin cám ơn và họn gắp lại quy khách,OTHER
2,152,692,242,692,242,706,152,706,Thu ngân: BH4,OTHER
3,214,662,359,662,359,686,214,686,Ngày: 10/08/2020 - 18:02,TIMESTAMP
4,314,631,359,634,358,649,313,647,18,509,OTHER
5,26,632,177,631,177,648,27,649,Giá trị thưởng tích lây,OTHER
6,27,614,128,609,129,623,28,628,Hạng hiện thời,OTHER
7,321,588,358,588,358,603,321,603,1,531,OTHER
8,26,588,126,587,127,602,27,603,Điểm hiện thời,OTHER
9,28,567,96,567,96,578,28,578,Điêm mua,OTHER
10,345,563,357,563,357,578,345,578,6,OTHER
11,27,541,154,537,154,554,28,558,(0) nguyễn thị định,OTHER
12,26,518,190,514,190,531,27,534,Mã thể 1 110000000123,OTHER
13,314,483,354,483,354,497,314,497,7,500,OTHER
14,15,484,117,482,118,496,15,498,Tiến trả lại VND,OTHER
15,309,459,355,459,355,473,309,473,70.000,OTHER
16,184,457,214,457,214,473,184,473,VND,OTHER
17,22,458,121,455,122,470,23,473,Tiến khách trá:,OTHER
18,21,434,102,434,102,454,21,454,Tổng cộng :,TOTAL_COST
19,356,434,356,452,305,450,303,432,62,500,TOTAL_COST
20,22,418,77,418,77,431,22,431,Tổng số,OTHER
21,127,418,136,418,136,430,127,430,9,OTHER
22,311,386,350,386,350,400,311,400,7,000,OTHER
23,222,385,258,385,258,400,222,400,3,500,OTHER
24,140,386,165,386,165,398,140,398,GOI,OTHER
25,107,387,115,387,115,399,107,399,2,OTHER
26,25,366,329,361,329,377,26,382,291027680000 sửa đậu nành goldsoy 200mint,OTHER
27,140,341,164,341,164,352,140,352,CAI,OTHER
28,106,342,115,342,115,351,106,351,L,OTHER
29,220,339,256,339,256,353,220,353,3,500,OTHER
30,310,338,347,338,347,352,310,352,3,500,OTHER
31,26,322,273,318,274,331,27,336,291008420000 SDN Fam gói 200m,OTHER
32,105,298,115,298,115,307,105,307,r,OTHER
33,139,296,163,296,163,308,139,308,cor,OTHER
34,213,295,256,293,257,307,214,309,10,000,OTHER
35,302,293,346,293,346,307,302,307,10.000,OTHER
36,25,277,252,272,252,286,26,291,291025150000 muối oma ba thu NT,OTHER
37,138,251,163,251,163,262,138,262,GOI,OTHER
38,108,249,109,266,117,258,109,266,r,OTHER
39,212,249,255,249,255,263,212,263,16.000,OTHER
40,300,250,343,246,344,261,301,265,16,000,OTHER
41,25,233,293,228,293,241,26,246,UC12T856 ngô nếp sấy giôn cay 145/18 NT,OTHER
42,136,207,163,207,163,218,136,218,HOP,OTHER
43,105,208,115,208,115,218,105,218,4,OTHER
44,217,205,254,205,254,219,217,219,6,500,OTHER
45,298,204,343,202,344,216,299,219,26.000,OTHER
46,24,186,327,181,328,198,25,203,291034330000 sửa đậu nành óc chó, hạnh nhi no,OTHER
47,28,164,95,166,95,179,27,177,Tôn háng,OTHER
48,110,164,333,159,333,176,111,181,SL ĐVT Đơn giá Thanh tiến,OTHER
49,100,138,274,137,274,154,100,155,HÓA ĐƠN BẢN HĂNG,OTHER
50,13,104,39,107,37,123,11,120,Tel:,OTHER
51,98,80,270,80,270,102,98,102,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
52,257,55,255,77,110,78,113,57,MINIMART ANAN,SELLER
