1,37,853,57,853,57,861,37,861,SL,OTHER
2,407,842,466,842,466,853,407,853,ematic,OTHER
3,19,803,227,801,228,821,19,823,Giá trị thưởng tích lũy:,OTHER
4,428,794,475,794,475,813,428,813,GOTO,OTHER
5,20,772,162,767,163,789,20,793,Hạng hiện thời:,OTHER
6,22,735,163,735,163,756,22,756,Điểm hiện thời:,OTHER
7,442,729,474,729,474,749,442,749,S40,OTHER
8,21,699,125,702,124,723,21,720,Điòm mua:,OTHER
9,451,695,472,695,472,714,451,714,10,OTHER
10,29,668,232,668,232,689,29,689,(O) nguyễn thị phương,OTHER
11,29,637,250,635,251,652,29,654,Mã thỏ: A10000000411,OTHER
12,404,590,471,590,471,608,404,608,107,000,OTHER
13,241,587,280,587,280,606,241,606,VND,OTHER
14,28,585,162,585,162,602,28,602,Tiến khách trả:,OTHER
15,477,561,476,580,403,579,403,559,107,000,TOTAL_COST
16,124,550,123,579,23,577,24,548,Tổng tiền,TOTAL_COST
17,403,522,468,522,468,539,403,539,107,000,OTHER
18,31,519,132,523,131,541,31,537,Tổng công,OTHER
19,159,498,183,498,183,515,159,515,14,OTHER
20,31,490,104,494,103,515,30,511,Tổng số,OTHER
21,408,458,461,458,461,476,408,476,16,000,OTHER
22,145,459,157,459,157,473,145,473,4,OTHER
23,300,456,346,456,346,474,300,474,4,000,OTHER
24,192,457,227,457,227,472,192,472,hop,OTHER
25,39,453,109,457,108,475,38,471,Giá bán,OTHER
26,301,427,348,427,348,446,301,446,4,500,OTHER
27,42,423,146,429,145,447,41,441,Giá đăng ký,OTHER
28,43,397,416,399,416,420,43,418,291008350000 SCU SUSU DÂU VNM 110mi NT,OTHER
29,402,373,457,373,457,390,402,390,35,000,OTHER
30,291,370,346,370,346,387,291,387,35,000,OTHER
31,195,371,228,371,228,386,195,386,HOF,OTHER
32,153,371,161,371,161,384,153,384,1,OTHER
33,52,341,405,345,405,366,52,362,8938009150960 kdr ngọc châu hộp 1009 NO,OTHER
34,402,317,456,317,456,335,402,335,14,000,OTHER
35,293,316,345,318,344,332,292,330,14,000,OTHER
36,197,313,230,315,229,331,195,329,GOI,OTHER
37,152,311,163,311,163,328,152,328,L,OTHER
38,300,265,344,265,344,280,300,280,5,250,OTHER
39,398,263,454,263,454,280,398,280,42,000,OTHER
40,198,259,231,259,231,274,198,274,HOP,OTHER
41,57,256,121,256,121,270,57,270,Giá bản,OTHER
42,154,257,164,257,164,268,154,268,e,OTHER
43,302,240,345,240,345,255,302,255,6.000,OTHER
44,55,226,155,229,154,246,55,243,Giá đăng ký,OTHER
45,63,173,143,178,142,195,62,190,Ten hang,OTHER
46,153,144,372,157,370,183,151,170,HỘA ĐƠN BẢN HÀNG,OTHER
47,47,105,77,105,77,121,47,121,Tch,OTHER
48,158,79,370,97,365,113,154,100,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
49,180,46,351,67,345,89,178,74,MINIMART ANAN,SELLER
