1,63,901,220,901,220,914,63,914,CONTERTING,OTHER
2,72,874,143,870,144,884,72,888,STOPPED,OTHER
3,437,862,591,855,592,868,438,875,CONCOUNTED,OTHER
4,182,802,510,796,511,823,183,829,Cam ơn quy khach, hen gấp la,OTHER
5,617,729,618,772,250,775,250,732,Thành tiền: 85,000,TOTAL_COST
6,191,680,296,676,298,708,192,712,30,000,OTHER
7,517,674,620,674,620,707,517,707,30,000,OTHER
8,393,676,419,674,422,705,396,708,1,OTHER
9,59,637,551,630,552,660,60,668,Thuốc la Craven A (meo) - Goi,OTHER
10,193,589,298,589,298,624,193,624,30,000,OTHER
11,514,584,613,587,612,624,512,620,30,000,OTHER
12,396,591,414,591,414,618,396,618,1,OTHER
13,63,553,315,551,315,579,64,581,Pac xỉu (n/đ) - Ly,OTHER
14,510,505,609,505,609,541,510,541,25,000,OTHER
15,192,507,298,504,299,538,193,540,25,000,OTHER
16,394,507,412,507,412,534,394,534,1,OTHER
17,69,468,357,468,357,496,69,496,Cafe (nóng/ đá) - Ly,OTHER
18,72,425,202,425,202,449,72,449,Mon,OTHER
19,193,421,474,421,474,451,193,451,Đon gia Só lượng,OTHER
20,543,415,611,412,612,445,544,448,Tiên,OTHER
21,126,359,556,355,557,392,126,396,PHIẾU TÍNH TIẾN,OTHER
22,76,321,369,320,369,341,76,342,Hoa đơn 100200000011,OTHER
23,506,315,605,315,605,339,506,339,Bàn T02,OTHER
24,366,281,403,281,403,293,366,293,Tar,OTHER
25,324,272,325,305,74,307,73,274,Ngày tập: 02/10/2020,TIMESTAMP
26,401,277,603,270,604,293,401,300,Khu vưc Tầng trêi,OTHER
27,592,223,592,252,87,256,87,227,Đ8 Phan Chu Trinh, Hiệp Phú, Quận 9, Hồ,ADDRESS
28,230,185,444,184,444,205,230,206,tel non 1963,OTHER
29,446,128,447,169,214,170,214,129,Guitar Cafe,SELLER
