1,110,960,406,956,407,977,110,982,Passwifi: 18006230,OTHER
2,87,900,249,896,250,922,87,925,Ký xác nhận,OTHER
3,218,849,590,844,591,870,218,874,Thankyou & see you againi,OTHER
4,21,817,136,814,137,840,22,842,Tiên thừa:,OTHER
5,700,809,717,809,717,835,700,835,0,OTHER
6,21,783,144,783,144,805,21,805,Khách đưa:,OTHER
7,644,774,718,774,718,798,644,798,55 000,OTHER
8,10,672,303,672,303,733,10,733,Tiền thanh toán:,TOTAL_COST
9,606,671,722,671,722,718,606,718,55 000,TOTAL_COST
10,66,596,141,596,141,623,66,623,FOAM,OTHER
11,370,575,429,575,429,607,370,607,1,00,OTHER
12,642,576,727,573,727,600,643,602,55 000,OTHER
13,476,575,564,572,564,602,477,604,55 000,OTHER
14,64,563,294,559,294,585,65,588,CHOCOLATEMILK,OTHER
15,152,509,267,509,267,539,152,539,Tên món,OTHER
16,23,512,55,512,55,538,23,538,TT,OTHER
17,650,510,723,507,724,535,651,537,T.Tiêr,OTHER
18,496,509,564,509,564,537,496,537,Đ.Giá,OTHER
19,385,510,419,510,419,538,385,538,SL,OTHER
20,21,457,258,454,258,486,21,489,Thu ngân: CAO1,OTHER
21,656,412,725,412,725,438,656,438,09.58,OTHER
22,385,409,478,409,478,439,385,439,Giờ ra:,OTHER
23,176,409,247,409,247,437,176,437,09.57,OTHER
24,23,406,144,409,144,438,22,436,Giờ vào:,OTHER
25,381,358,731,358,731,400,381,400,Ngày: 31-03-2019,TIMESTAMP
26,381,358,731,358,731,400,381,400,Ngày: 31-03-2019,TIMESTAMP
27,23,359,126,362,125,392,22,389,SỐH :,OTHER
28,384,325,525,328,525,353,384,351,Số khách:,OTHER
29,175,322,281,326,280,356,174,352,SỐ 19,OTHER
30,708,329,721,329,721,350,708,350,O,OTHER
31,25,321,64,321,64,348,25,348,s6,OTHER
32,443,260,552,260,552,301,443,301,TÍNH,OTHER
33,205,253,440,261,438,300,204,292,PHIẾU TẠM,OTHER
34,250,210,506,218,505,244,250,236,Tel:028 3588 3591,OTHER
35,171,155,578,155,578,222,171,222,22 Quang Trung, P10, Gò Vấp,ADDRESS
36,171,155,578,155,578,222,171,222,22 Quang Trung, P10, Gò Vấp,ADDRESS
37,123,68,636,68,636,164,123,164,THỨC COFFEE,SELLER
38,123,68,636,68,636,164,123,164,THỨC COFFEE,SELLER
