1,151,1305,686,1305,686,1343,151,1343,Xin hẹn gắp lại qui khachilin,OTHER
2,370,1224,464,1224,464,1279,370,1279,ghộ,OTHER
3,73,1174,762,1177,761,1216,72,1213,Chân thành cảm ơn qui khách đã ùng,OTHER
4,331,1068,505,1071,504,1127,330,1123,đồi trả,OTHER
5,118,1008,707,1017,707,1070,117,1061,Hàng mua rồi xin miễn,OTHER
6,605,915,703,915,703,946,605,946,63,000,OTHER
7,239,891,756,891,756,962,239,962,Tổng thanh toán: 63.000,TOTAL_COST
8,683,860,704,860,704,892,683,892,0,OTHER
9,335,850,520,853,520,891,335,888,Chiết khầu:,OTHER
10,603,808,700,808,700,837,603,837,63,000,OTHER
11,278,797,518,804,517,842,277,836,Tống tiền hàng:,OTHER
12,598,708,697,708,697,738,598,738,56,000,OTHER
13,464,710,483,710,483,732,464,732,1,OTHER
14,116,704,215,707,214,738,115,735,66,000,OTHER
15,120,653,343,653,343,683,120,683,bio care 200ml,OTHER
16,614,598,695,598,695,629,614,629,8,000,OTHER
17,462,599,484,599,484,628,462,628,1,OTHER
18,121,596,201,596,201,628,121,628,8,000,OTHER
19,122,541,668,545,668,580,121,575,thuốc số giun BIO-RANTEL- (viên),OTHER
20,529,493,688,493,688,523,529,523,Thanh tien,OTHER
21,442,493,480,493,480,521,442,521,SL,OTHER
22,122,487,243,492,242,527,121,522,Đơn gia,OTHER
23,117,418,261,418,261,452,117,452,Địa chl: c.,OTHER
24,116,378,184,378,184,409,116,409,SDT,OTHER
25,113,336,419,339,418,373,113,370,Khách hàng: Khach Is,OTHER
26,192,254,640,254,640,320,192,320,Ngày 17 tháng 08 năm 2020,TIMESTAMP
27,283,225,540,227,540,256,283,255,SS HD: Hôn dơn 1,OTHER
28,231,177,590,174,590,212,232,215,HÔA ĐƠN BAN HÀNG,OTHER
29,259,132,559,126,559,156,260,162,Hotline: 0002471816,OTHER
30,165,89,674,89,674,123,165,123,Quận Bình Thạnh, Hồ Chí Minh,ADDRESS
31,113,60,714,49,708,81,116,86,Địa chỉ: 11B Nơ Trang Long - Phường 14,ADDRESS
32,199,10,622,10,622,52,199,52,Siêu thị thú cưng PET YÊU,SELLER
