1,28,689,381,690,381,707,28,706,Hot line: 02471066866 Website: vinmart.com,OTHER
2,73,664,338,665,337,682,73,681,CÂM DN QUÝ KHÁCH VÀ HỆN GẬP LẠI,OTHER
3,350,623,388,623,388,637,350,637,he day,OTHER
4,90,598,317,597,317,615,90,616,Chỉ xuất hóa đơn trong ngày,OTHER
5,99,535,313,529,314,546,99,552,(Giá đã bao gồm thuê gigt),OTHER
6,28,516,132,513,132,530,28,532,TIẾN TRẢ LẠI,OTHER
7,375,510,388,510,388,524,375,524,0,OTHER
8,38,496,106,496,106,510,38,510,TIỀN MẶT,OTHER
9,331,490,384,488,385,502,332,505,53.400,OTHER
10,29,474,147,470,148,487,30,491,TIỀN KHÁCH TRẢ,OTHER
11,330,468,383,468,383,482,330,482,53.400,OTHER
12,31,453,173,449,173,463,32,467,TỔNG TIẾN ĐÃ GIẢM,OTHER
13,372,446,384,446,384,460,372,460,o,OTHER
14,210,428,210,451,29,448,30,425,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
15,384,424,383,443,322,442,322,423,53.400,TOTAL_COST
16,28,391,138,389,139,403,28,405,8851932126366,OTHER
17,196,388,239,388,239,403,196,403,9.400,OTHER
18,280,387,297,387,297,400,280,400,1,OTHER
19,336,385,379,385,379,399,336,399,9.400,OTHER
20,27,369,295,366,295,382,27,385,WALL 'S KEM CUP C.CHIP 100m (539),OTHER
21,28,350,137,349,138,363,28,364,4000177996003,OTHER
22,275,348,289,348,289,361,275,361,1,OTHER
23,190,347,236,347,236,362,190,362,11.000,OTHER
24,327,344,377,342,377,357,328,359,11.000,OTHER
25,27,327,303,324,303,341,27,344,Nước trái cây anh đảo capri?sonne,OTHER
26,29,309,136,309,136,322,29,322,8934673719391,OTHER
27,188,308,236,308,236,321,188,321,33.000,OTHER
28,276,308,285,308,285,318,276,318,1,OTHER
29,325,305,375,301,376,316,326,320,33.000,OTHER
30,28,289,149,289,149,302,28,302,Nước dừa tươi c,OTHER
31,141,287,310,284,311,300,141,303,Cocofresh TPA 11 112,OTHER
32,28,265,97,267,96,284,27,282,Mặt hàng,OTHER
33,178,265,238,265,238,283,178,283,Đơn giá,OTHER
34,268,266,285,266,285,280,268,280,SL,OTHER
35,324,263,374,259,375,276,325,279,T. Tiền,OTHER
36,30,230,94,230,94,240,30,240,Quầy: 001,OTHER
37,266,227,372,222,373,235,267,241,NVBH:00015345,OTHER
38,240,207,237,223,20,225,24,204,Ngày bán: 12/08/2020 21:16,TIMESTAMP
39,282,205,371,202,372,217,283,220,10:00181531,OTHER
40,139,187,266,187,266,201,139,201,HÓA ĐƠN BÁN HẢNG,OTHER
41,203,149,302,148,302,162,203,163,024.71088868-39871,OTHER
42,140,123,140,149,24,147,24,121,VinCommerce,SELLER
43,186,121,319,121,319,146,186,146,TP. Cẩm Phả, Quảng Ninh,ADDRESS
44,161,98,343,98,343,124,161,124,Số 112 Thanh Niên. P. Cẩm Thành,ADDRESS
45,185,82,319,78,317,96,187,100,VM+QNH 112 Thanh Niên,ADDRESS
