1,71,1220,231,1210,233,1234,73,1245,Diem su dung,OTHER
2,219,1211,425,1197,427,1224,220,1238,trong hoa don:,OTHER
3,70,1181,249,1174,250,1199,71,1206,Diem dau ng3y:,OTHER
4,69,1143,160,1140,161,1166,70,1169,Ho ten:,OTHER
5,67,1109,160,1106,161,1130,68,1134,Ma 50,OTHER
6,46,1073,453,1052,455,1076,47,1097,THONG TIN KHÁCH HANG THAN THIETS,OTHER
7,42,1039,325,1023,326,1047,43,1063,Bao gom thue OTOT 57:,OTHER
8,479,1013,554,1008,556,1033,480,1038,176.19,OTHER
9,43,1002,145,997,146,1022,44,1027,Tien mat,OTHER
10,451,980,553,974,554,999,453,1005,3,700.00,OTHER
11,39,970,335,952,337,980,41,997,Phuong thuc thanh toan:,OTHER
12,105,897,339,885,340,910,106,922,Tong so luong hang:,OTHER
13,493,876,511,876,511,898,493,898,1,OTHER
14,36,843,340,843,340,892,36,892,Tong so tien thanh toan:,TOTAL_COST
15,440,841,542,834,544,862,442,868,3,700.00,OTHER
16,128,790,193,787,194,811,130,815,0.148,OTHER
17,212,787,243,787,243,809,212,809,KG,OTHER
18,39,763,116,758,117,782,41,787,VATO5Z,OTHER
19,241,750,351,746,352,770,242,775,25,000.00,OTHER
20,434,742,534,736,536,763,435,770,3,700.00,OTHER
21,39,726,456,707,457,735,41,753,00000002950826 Ca chua Hien Bac ky,OTHER
22,40,667,301,655,302,679,40,690,Nhan vien: Doan Quang,OTHER
23,203,605,528,605,528,659,203,659,Ngày: 19/09/2019 18:38:08,TIMESTAMP
24,40,635,141,631,142,655,41,660,Quay: 02,OTHER
25,203,605,528,605,528,659,203,659,Ngày: 19/09/2019 18:38:08,TIMESTAMP
26,203,605,528,605,528,659,203,659,Ngày: 19/09/2019 18:38:08,TIMESTAMP
27,40,571,504,555,505,579,40,594,Co gia tri xuat Hoa don GTOT trong ngay,OTHER
28,115,541,233,536,234,555,116,560,PHIEU,OTHER
29,256,535,350,531,351,550,257,555,TINH,OTHER
30,350,531,463,525,464,546,351,552,STIEN,OTHER
31,113,479,476,468,477,491,113,503,Website: waw.saigonco-op.com.vn,OTHER
32,123,449,459,439,460,460,124,470,Emailfoofthekparkscoopfood.vn,OTHER
33,137,390,441,382,441,401,137,409,tai Khu do thi moi Van Phu,OTHER
34,49,334,488,320,489,343,50,357,ket hop dich vu tren o dat h-c12 thuoc,OTHER
35,458,298,495,298,495,312,458,312,9 cu,OTHER
36,41,288,501,288,501,328,41,328,Tang 1, SH42 - Toa K3, Cong trinh chung cu,ADDRESS
37,130,275,425,267,425,289,131,297,Marso thue: 0309129418?115,OTHER
38,138,217,419,217,419,268,138,268,Sì gon Co.op Co.op Food HN THE K-PARK,SELLER
39,138,217,419,217,419,268,138,268,Sì gon Co.op Co.op Food HN THE K-PARK,SELLER
