1,194,618,314,618,314,636,194,636,Thu ngân: BH4,OTHER
2,279,579,462,579,462,607,279,607,Ngày: 12/08/2020 - 13:10,TIMESTAMP
3,419,541,465,538,466,558,420,560,6,730,OTHER
4,29,536,226,538,226,559,29,558,Giá trị thường tích lũy,OTHER
5,31,507,166,505,166,526,31,529,Hạng hiện thời:,OTHER
6,444,479,464,479,464,497,444,497,67,OTHER
7,32,474,192,474,192,494,32,494,Điểm hiện thời:,OTHER
8,442,447,464,447,464,465,442,465,21,OTHER
9,33,446,126,446,126,463,33,463,Điêm mua:,OTHER
10,39,414,193,414,193,431,39,431,(0) lô thị bích thủy,OTHER
11,37,384,246,385,246,402,37,401,Mã the: A10000001650,OTHER
12,391,344,456,344,456,361,391,361,210.000,OTHER
13,236,341,274,341,274,360,236,360,VND,OTHER
14,34,335,163,338,163,355,34,353,Tiển khách trá:,OTHER
15,387,315,456,315,456,332,387,332,210,000,TOTAL_COST
16,31,305,136,305,136,333,31,333,Tổng cộng cộng,TOTAL_COST
17,158,290,182,290,182,306,158,306,30,OTHER
18,36,282,107,286,106,304,35,300,Tổng số,OTHER
19,384,255,448,255,448,272,384,272,210 000,OTHER
20,292,256,336,256,336,270,292,270,7,000,OTHER
21,188,253,220,253,220,268,188,268,DOI,OTHER
22,134,251,156,251,156,267,134,267,so,OTHER
23,156,198,436,201,436,222,156,219,SL ĐVT Đơn giá Thanh tiến,OTHER
24,52,193,132,198,131,216,51,210,Tên hang,OTHER
25,143,163,362,170,362,194,143,188,HÓA ĐƠN BAN HÀNG,OTHER
26,35,118,68,121,66,140,34,137,Tel,OTHER
27,356,105,357,123,149,122,146,98,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
28,167,70,340,70,340,93,167,93,MINIMART ANAN,SELLER
