1,53,444,314,444,314,461,53,461,Lin câm an và hen gấp lại quý khách,OTHER
2,139,423,239,421,240,438,139,440,Thu ngân: BH3,OTHER
3,365,393,365,414,211,414,211,393,Ngày: 10/08/2020 - 18:08,TIMESTAMP
4,309,359,367,362,367,379,308,376,120,000,OTHER
5,173,358,209,358,209,376,173,376,VND,OTHER
6,2,360,110,356,111,373,2,377,Tiến khách trá:,OTHER
7,77,333,77,355,0,355,0,333,Tổng tiền,TOTAL_COST
8,367,334,367,352,310,352,310,334,120,000,TOTAL_COST
9,0,305,84,305,84,322,0,322,Tổng công,OTHER
10,309,304,365,304,365,318,309,318,120,000,OTHER
11,104,284,125,284,125,301,104,301,24,OTHER
12,2,282,62,282,62,299,2,299,Tổng số,OTHER
13,8,251,72,251,72,265,8,265,Giá bán,OTHER
14,82,251,102,251,102,263,82,263,24,OTHER
15,302,248,361,248,361,265,302,265,120,000,OTHER
16,221,249,261,249,261,264,221,264,5,000,OTHER
17,131,249,159,249,159,262,131,262,CHA,OTHER
18,8,227,92,227,92,241,8,241,Giá đăng ký,OTHER
19,223,224,262,224,262,239,223,239,6,000,OTHER
20,9,204,288,201,288,215,9,218,291006380000 Nước coca chai 390ml NT,OTHER
21,12,178,350,174,350,191,12,195,Tăn hàng SL ĐVT Đơn giá Thánh tiên,OTHER
22,90,147,283,146,283,167,90,168,HÓA ĐƠN BÁN HÀNG,OTHER
23,0,115,23,115,23,130,0,130,Tel,OTHER
24,276,87,276,109,93,109,93,87,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
25,261,58,261,80,107,80,107,58,MINIMART ANAN,SELLER
