1,211,829,678,824,678,864,212,869,Cám ơn quý khách. Hẹn gặp lại:,OTHER
2,327,729,327,782,73,782,73,729,Cộng tiền hàng tiền hàng,TOTAL_COST
3,814,727,814,769,700,769,700,727,52.000,TOTAL_COST
4,377,660,469,656,471,695,378,699,6.500,OTHER
5,78,664,99,664,99,696,78,696,8,OTHER
6,696,656,806,652,807,688,697,692,52,000,OTHER
7,83,606,420,601,421,633,83,638,Sữa tươi Milo 180 ml,OTHER
8,84,545,126,545,126,576,84,576,SL,OTHER
9,364,542,477,542,477,575,364,575,Đơn giá,OTHER
10,637,534,797,530,798,570,638,573,Thành tiền,OTHER
11,94,422,275,419,275,448,95,450,Sô: SON55659,OTHER
12,790,417,790,449,566,449,566,417,Ngày: 12-08-2020,TIMESTAMP
13,291,359,585,356,586,382,291,385,HÓA ĐƠN BÁN HÀNG,OTHER
14,278,258,596,258,596,276,278,276,0869322496-02438765210,OTHER
15,771,203,771,239,102,239,102,203,Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
16,600,159,600,196,273,196,273,159,CỬA HÀNG NĂM OÁNH,SELLER
