1,233,940,757,949,756,979,232,970,Cám ơn quý khách Hẹn gặp lạil,OTHER
2,847,872,983,876,982,913,846,908,336,000,OTHER
3,5,857,107,860,106,902,3,898,Trà lạ,OTHER
4,852,812,988,816,987,851,851,847,500,000,OTHER
5,7,798,263,806,262,840,6,832,Tiền khách đưa,OTHER
6,1007,746,1007,791,843,791,843,746,164,000,TOTAL_COST
7,277,727,277,786,-3,786,-3,727,Khách phải trả,TOTAL_COST
8,973,689,999,689,999,726,973,726,o,OTHER
9,5,670,182,673,182,713,5,710,Chiết khấu,OTHER
10,858,629,994,629,994,660,858,660,164.000,OTHER
11,7,610,258,615,257,659,6,654,Cộng tiền hàng,OTHER
12,887,544,998,544,998,579,887,579,32,000,OTHER
13,419,541,526,544,525,579,418,576,32,000,OTHER
14,5,538,21,538,21,562,5,562,1,OTHER
15,11,460,270,469,269,507,10,499,TH IT ĐƯỜNG 1L,OTHER
16,427,388,526,391,525,423,426,420,11,000,OTHER
17,867,391,991,386,992,418,868,422,132,000,OTHER
18,11,379,49,379,49,413,11,413,12,OTHER
19,17,314,325,322,325,352,16,344,Bò húc Thái 250ml,OTHER
20,407,237,548,237,548,276,407,276,Đon gia,OTHER
21,795,230,991,220,993,264,797,274,Thanh tiền,OTHER
22,16,226,68,226,68,262,16,262,SL,OTHER
23,23,129,151,136,149,175,21,168,Địa chỉ:,OTHER
24,27,72,203,86,200,120,24,106,Điện thoại:,OTHER
25,936,38,944,30,943,44,944,30,o,OTHER
26,944,11,954,18,944,31,934,23,0,OTHER
