1,19,405,192,407,191,429,18,426,Số GD treo:410,OTHER
2,20,374,204,375,204,397,19,396,TÊN NV:4930POS3,OTHER
3,386,347,546,347,546,365,386,365,NVBH:09024146,OTHER
4,19,343,116,343,116,365,19,365,Quầy:001,OTHER
5,198,313,370,313,370,334,198,334,Giao dich treo,OTHER
6,554,275,554,307,359,307,359,275,Thời gian: 20:18,TIMESTAMP
7,211,274,211,306,13,306,13,274,Ngày: 13/08/2020,TIMESTAMP
8,290,223,437,223,437,245,290,245,02471066866-49301,OTHER
9,471,185,471,215,264,215,264,185,TP. Cẩm Phả, Quảng Ninh,ADDRESS
10,13,168,195,168,195,219,13,219,VinCommerce,SELLER
11,491,148,491,180,245,180,245,148,Số 1050-1062 Đường Trần Phú,ADDRESS
12,485,111,485,145,247,145,247,111,VM+ QNH 1060-1062 Trần Phú,ADDRESS
