1,47,378,202,378,202,395,47,395,Số D treo: 110,OTHER
2,47,347,214,347,214,367,47,367,Tên W:5156POS2,OTHER
3,372,325,513,327,513,344,372,342,NVBI1:06025430,OTHER
4,48,314,137,318,136,339,47,335,quây:001,OTHER
5,208,291,357,297,357,314,208,308,Giao điển treo,OTHER
6,521,265,519,301,346,292,348,257,Thời gian: 20:56,TIMESTAMP
7,227,258,226,285,41,277,42,250,Ngày: 12/08/2020,TIMESTAMP
8,288,212,418,217,418,234,288,229,NONGERING,OTHER
9,477,185,476,211,236,200,237,174,P . Cẩm Bình, TP . Cảm Phả, QNH,ADDRESS
10,204,161,202,208,46,201,48,154,VinCommerce,SELLER
11,444,152,443,176,277,168,278,144,Tổ 7. Khu Minh Tiến A,ADDRESS
12,470,117,469,148,240,137,241,106,VM+ QNH Tổ 7, Khi Minh Tiến A,ADDRESS
