1,52,532,342,532,342,551,52,551,Xin cám ơn và hẹn gắp lại quý khách,OTHER
2,149,508,258,510,258,528,149,526,Thu ngân: BH3,OTHER
3,226,475,400,475,400,500,226,500,Ngày: 12/08/2020 - 16:26,TIMESTAMP
4,337,441,399,441,399,457,337,457,113,000,OTHER
5,186,440,224,440,224,459,186,459,VND,OTHER
6,2,439,117,439,117,455,2,455,Tiến khách trả:,OTHER
7,-6,411,78,411,78,432,-6,432,Tổng tiền,TOTAL_COST
8,399,411,400,429,338,433,335,414,113,000,TOTAL_COST
9,0,377,87,379,86,397,0,394,Tổng cộng,OTHER
10,334,376,396,376,396,393,334,393,113,000,OTHER
11,126,356,134,356,134,369,126,369,7,OTHER
12,1,352,65,352,65,370,1,370,Tổng số,OTHER
13,339,316,391,316,391,334,339,334,14,000,OTHER
14,233,317,282,317,282,332,233,332,14,000,OTHER
15,140,317,172,317,172,332,140,332,CAI,OTHER
16,99,318,111,318,111,332,99,332,1,OTHER
17,8,294,262,291,263,304,8,308,291038530000 con thú đổ chơi no,OTHER
18,10,264,71,264,71,278,10,278,Giá bán,OTHER
19,231,262,282,262,282,276,231,276,16,500,OTHER
20,334,262,387,259,388,277,335,279,99,000,OTHER
21,141,261,173,261,173,276,141,276,goi,OTHER
22,101,262,113,262,113,276,101,276,6,OTHER
23,11,237,103,237,103,254,11,254,Giá đăng ký,OTHER
24,234,236,283,236,283,251,234,251,17,000,OTHER
25,11,213,327,209,327,226,11,229,8934755010156 BVS diana mỏng cánh NT,OTHER
26,15,187,376,181,377,201,16,207,Tân hàng SL ĐVT Đơn giá Thành tiên,OTHER
27,101,154,307,154,307,173,101,173,HÓA ĐƠN BÁN HÀNG,OTHER
28,7,119,28,119,28,136,7,136,Tel,OTHER
29,98,91,298,91,298,115,98,115,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
30,122,62,280,62,280,83,122,83,MINIMART ANAN,SELLER
