1,293,711,491,709,491,737,293,740,Thu ngân: BH2,OTHER
2,364,588,430,588,430,618,364,618,VND,OTHER
3,633,588,737,586,737,615,634,618,130,000,OTHER
4,16,583,234,583,234,610,16,610,Tiến khách trả:,OTHER
5,745,526,745,567,629,567,629,526,130,000,TOTAL_COST
6,188,530,188,572,9,572,9,530,Tổng cộng:,TOTAL_COST
7,249,499,265,499,265,524,249,524,1,OTHER
8,14,489,139,489,139,522,14,522,Tổng số,OTHER
9,625,433,729,431,730,460,626,463,130,000,OTHER
10,432,430,538,430,538,458,432,458,130,000,OTHER
11,279,430,335,427,336,451,280,454,GOI,OTHER
12,205,430,222,430,222,450,205,450,1,OTHER
13,33,380,664,386,664,414,33,407,291003450000 hạt điều kim thanh gói 500g nt,OTHER
14,563,339,705,339,705,364,563,364,Thành tiển,OTHER
15,415,334,525,339,524,367,414,362,Đơn giá,OTHER
16,303,335,362,335,362,362,303,362,ĐVT,OTHER
17,230,336,268,336,268,361,230,361,SL,OTHER
18,45,332,180,338,179,363,44,357,Tên hàng,OTHER
19,199,271,584,277,583,320,199,314,HÓA ĐƠN BÁN HÀNG,OTHER
20,19,207,70,207,70,234,19,234,Tel:,OTHER
21,571,161,571,206,202,206,202,161,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
22,536,112,536,149,243,149,243,112,MINIMART ANAN,SELLER
