1,60,825,456,811,457,835,61,849,Xin cám ơn và hen gặp lại quý khách,OTHER
2,197,789,345,782,346,807,198,813,Thu ngân: BH3,OTHER
3,301,729,531,729,531,774,301,774,Ngày: 15/08/2020 - 19:17,TIMESTAMP
4,3,695,238,693,238,715,3,718,Giá trị thưởng tích lũy:,OTHER
5,455,685,524,682,525,706,456,709,13,7"65,OTHER
6,4,659,163,655,164,679,5,684,Hạng hiện thơi:,OTHER
7,3,618,162,618,162,639,3,639,Điểm hiện thời:,OTHER
8,453,614,518,614,518,636,453,636,12,750,OTHER
9,2,582,116,584,116,602,2,600,Điêm mua:,OTHER
10,489,576,516,576,516,599,489,599,23,OTHER
11,8,545,155,545,155,566,8,566,(0) Vũ Thị quý,OTHER
12,7,509,263,508,264,526,7,527,Mã thỏ: A10000000065,OTHER
13,430,460,505,460,505,478,430,478,238,008,OTHER
14,251,458,295,458,295,476,251,476,VND,OTHER
15,5,451,161,456,160,474,5,469,Tiền khách trá:,OTHER
16,422,424,513,424,513,450,422,450,238,008,TOTAL_COST
17,107,423,105,448,5,446,6,419,Tổng tiền,TOTAL_COST
18,425,389,499,388,500,406,425,407,238,008,OTHER
19,11,375,126,383,124,405,10,397,Tổng công,OTHER
20,158,360,185,360,185,378,158,378,24,OTHER
21,10,347,97,353,96,374,9,368,Tổng s8,OTHER
22,419,323,490,323,490,341,419,341,238,008,OTHER
23,312,321,365,321,365,342,312,342,9,917,OTHER
24,193,316,233,318,232,336,192,333,LON,OTHER
25,128,313,154,315,152,332,126,329,24,OTHER
26,21,307,104,313,103,331,20,324,Gia bán,OTHER
27,306,293,366,293,366,311,306,311,10,500,OTHER
28,22,276,143,283,142,303,21,296,Gia đằng ký,OTHER
29,24,245,272,263,271,282,23,265,291012070000 Bia 333 NT,OTHER
30,280,232,476,237,476,260,280,255,Đơn giá Thành tiên,OTHER
31,156,227,249,231,248,249,155,245,SL ĐVT,OTHER
32,34,215,127,226,125,244,32,233,Tôn háng,OTHER
33,140,184,394,200,392,230,138,214,HÓA ĐƠN BẢN HÀNG,OTHER
34,26,139,50,139,50,154,26,154,ch,OTHER
35,145,114,386,135,385,155,144,138,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
36,170,84,366,98,364,125,170,109,MINIMART ANAN,SELLER
