1,156,801,374,802,374,822,156,821,Powered by POS365 VN,OTHER
2,163,769,368,770,368,791,163,790,Câm ơn và hẹn gắp lại',OTHER
3,39,718,285,717,285,741,39,742,Năm mươi nghin đóng chẫn,OTHER
4,470,687,482,685,485,705,473,707,o,OTHER
5,253,680,340,684,339,705,252,702,Tiến thưa,OTHER
6,422,652,481,652,481,670,422,670,50 000,OTHER
7,201,647,338,649,338,670,201,668,Tiền khách đưa,OTHER
8,480,613,480,636,420,636,420,613,50,000,TOTAL_COST
9,341,614,341,639,235,639,235,614,Tổng cộng:,TOTAL_COST
10,236,580,340,580,340,600,236,600,Chiết khấu:,OTHER
11,466,583,478,583,478,601,466,601,o,OTHER
12,196,550,336,550,336,569,196,569,Cộng tiển hàng:,OTHER
13,417,550,474,550,474,567,417,567,50,000,OTHER
14,50,496,107,496,107,513,50,513,20 000,OTHER
15,412,494,472,494,472,511,412,511,20 000,OTHER
16,308,494,323,494,323,511,308,511,1,OTHER
17,52,466,203,466,203,483,52,483,Trà chanh Up Sz,OTHER
18,52,434,109,434,109,452,52,452,30 000,OTHER
19,411,432,468,432,468,450,411,450,30 000,OTHER
20,306,434,320,434,320,449,306,449,1,OTHER
21,52,404,250,404,250,424,52,424,Up S2 Quất Nha Đam,OTHER
22,53,373,125,373,125,394,53,394,Đơn gia,OTHER
23,293,373,320,373,320,393,293,393,SL,OTHER
24,372,373,466,370,466,388,373,391,Thành tiến,OTHER
25,52,317,116,315,117,336,53,338,Đia chi,OTHER
26,58,293,96,293,96,307,58,307,SĐT,OTHER
27,58,265,155,268,154,285,58,282,Khách hàng,OTHER
28,172,229,355,229,355,251,172,251,13/08/2020 - 20:30,TIMESTAMP
29,125,208,401,202,401,219,125,225,001010002000220 1002,OTHER
30,163,181,360,174,361,195,164,202,HÔA ĐƠN BẢN HẮNG,OTHER
31,162,142,360,134,361,154,163,163,ĐI TRONG 9311991,OTHER
32,113,107,417,107,417,139,113,139,Tp Cẩm Phả - Quảng Ninh,ADDRESS
33,66,78,446,78,446,114,66,114,Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy,ADDRESS
34,314,56,314,80,213,80,213,56,PHỐ MỎ,SELLER
