1,100,978,458,979,458,997,99,995,Xin cám an và họn gap lai quy khach,OTHER
2,217,960,357,958,358,977,218,979,Thu ngân: BHI,OTHER
3,536,923,536,953,318,953,318,923,Ngày: 13/08/2020 - 18:32,TIMESTAMP
4,470,885,537,883,538,902,471,904,39,536,OTHER
5,28,882,256,884,256,906,28,904,Giá trị thưởng tích lũy:,OTHER
6,27,851,183,851,183,873,27,873,Hạng hiện thời:,OTHER
7,505,820,543,820,543,840,505,840,818,OTHER
8,25,809,183,812,182,837,25,834,Điểm hiện thời:,OTHER
9,518,785,546,785,546,807,518,807,16,OTHER
10,26,778,137,778,137,799,26,799,Điêm mua:,OTHER
11,28,744,200,744,200,765,28,765,(0) cao thị huyồn,OTHER
12,27,708,280,711,280,729,27,726,Mã thỏ: A10000001280,OTHER
13,476,660,545,660,545,679,476,679,35,000,OTHER
14,21,652,168,654,168,672,21,671,liền trả lai VND,OTHER
15,461,618,546,620,546,643,460,641,200,000,OTHER
16,266,617,315,617,315,640,266,640,VND,OTHER
17,24,613,175,611,175,632,24,634,Tiển khách trả:,OTHER
18,551,575,551,609,458,609,458,575,165.000,TOTAL_COST
19,145,576,145,605,21,605,21,576,Tổng cộng :,TOTAL_COST
20,187,555,199,555,199,574,187,574,9,OTHER
21,24,547,110,550,109,573,24,570,Tổng số,OTHER
22,467,506,538,506,538,528,467,528,90,000,OTHER
23,326,507,393,507,393,526,326,526,18,000,OTHER
24,207,502,248,505,247,525,206,522,GOI,OTHER
25,154,505,168,505,168,523,154,523,5,OTHER
26,35,474,464,474,464,492,35,492,08801104170116 kem cá samanco 150ml NO,OTHER
27,468,433,538,433,538,455,468,455,17,000,OTHER
28,324,435,393,432,394,454,325,457,17,000,OTHER
29,208,434,248,434,248,454,208,454,GOI,OTHER
30,154,434,167,434,167,453,154,453,T,OTHER
31,33,402,531,399,532,421,33,424,8936096670020 Bánh gao one one mặn tôm BINT,OTHER
32,207,363,248,363,248,383,207,383,GOI,OTHER
33,324,362,393,360,394,382,325,384,15,000,OTHER
34,469,360,539,360,539,382,469,382,15,000,OTHER
35,154,363,166,363,166,382,154,382,1,OTHER
36,32,330,388,328,389,349,32,351,8934680113830 bánh cosy 144g NT,OTHER
37,208,292,248,292,248,310,208,310,GOT,OTHER
38,324,291,392,289,393,309,325,311,28,000,OTHER
39,153,292,165,292,165,309,153,309,1,OTHER
40,465,289,536,286,537,308,466,311,28,000,OTHER
41,36,261,442,257,443,279,36,283,8936036020120 Bánh Custas 6p 138g NT,OTHER
42,208,224,249,224,249,243,208,243,CHA,OTHER
43,154,227,167,227,167,243,154,243,1,OTHER
44,324,225,391,222,392,242,325,245,15,000,OTHER
45,467,221,533,221,533,240,467,240,15,000,OTHER
46,38,199,313,196,313,214,38,217,291002380000 Pepsi 1 51 NT,OTHER
47,172,169,307,167,307,185,172,187,SL ĐVT,OTHER
48,48,168,142,171,142,189,47,185,Tên hàng,OTHER
49,301,166,384,163,385,182,302,185,Đơn giá,OTHER
50,379,164,517,160,517,177,380,181,Thành tiên,OTHER
51,153,130,424,125,425,150,154,155,HÓA ĐƠN BÁN HÀNG,OTHER
52,35,84,65,88,63,107,33,104,el,OTHER
53,421,53,421,79,152,79,152,53,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
54,392,19,392,47,183,47,183,19,MINIMART ANANAN,SELLER
