1,301,1135,329,1135,329,1143,301,1143,9995,OTHER
2,141,1100,224,1100,224,1109,141,1109,Hen gap lai,OTHER
3,115,1082,241,1082,241,1094,115,1094,Cam on Quy khach,OTHER
4,32,1045,136,1049,136,1066,31,1062,Tong 80 Ten,OTHER
5,194,1045,204,1045,204,1061,194,1061,?,OTHER
6,32,1031,136,1032,136,1045,32,1044,Nhan doi tem,OTHER
7,194,1030,205,1030,205,1048,194,1048,8,OTHER
8,33,1016,116,1016,116,1028,33,1028,Tem thuong,OTHER
9,35,1002,55,1002,55,1012,35,1012,Ten,OTHER
10,191,999,206,999,206,1032,191,1032,8,OTHER
11,31,981,250,981,250,998,31,998,Diem su dung trong hoa don:,OTHER
12,31,965,143,967,143,980,31,978,Diem dau ngay;,OTHER
13,32,950,89,950,89,962,32,962,Ho ten;,OTHER
14,32,933,87,933,87,946,32,946,Ma so,OTHER
15,14,900,193,897,193,909,14,912,Bao gom thue GTGT 10%,OTHER
16,273,893,339,896,339,913,272,910,9,327.21,OTHER
17,14,881,193,878,193,894,14,896,Bao gom thue GIGT 5%:,OTHER
18,276,879,339,879,339,893,276,893,1,832.76,OTHER
19,16,853,126,852,126,867,16,869,Tien thoi lai,OTHER
20,255,853,339,853,339,866,255,866,-359,912.00,OTHER
21,16,830,82,830,82,842,16,842,Tien mat,OTHER
22,258,823,339,826,339,841,257,839,501,000.00,OTHER
23,13,811,201,808,201,822,13,826,Phuong thuc thanh toan:,OTHER
24,56,785,208,784,208,797,57,798,Tong so luong hang:,OTHER
25,299,783,316,783,316,798,299,798,15,OTHER
26,260,767,338,767,338,780,260,780,141,088.00,OTHER
27,10,755,347,755,347,791,10,791,Tong so tien thanh toan: 141,088.00,TOTAL_COST
28,268,734,337,734,337,746,268,746,13,400.00,OTHER
29,149,734,219,734,219,746,149,746,13,400.00,OTHER
30,20,734,69,734,69,746,20,746,VATO5%,OTHER
31,18,716,332,716,332,731,18,731,08934576013671 Trung ga goc Coop 41/hop,OTHER
32,271,699,336,700,335,713,271,712,7,500.00,OTHER
33,153,700,218,700,218,712,153,712,7,500.00,OTHER
34,18,700,70,700,70,712,18,712,VẤT 10X,OTHER
35,247,685,331,685,331,697,247,697,sot spa bo,OTHER
36,18,682,242,681,242,697,19,698,08936017365691 Mi Ktayomachi,OTHER
37,30,669,98,669,98,681,30,681,Gia goc,OTHER
38,220,665,292,667,292,680,220,679,18,000.00,OTHER
39,256,652,337,652,337,664,256,664,15,000.00,OTHER
40,149,651,221,651,221,663,149,663,15,000.00,OTHER
41,20,651,99,651,99,663,20,663,VẤT 10%,OTHER
42,247,638,311,638,311,646,247,646,to m.mai,OTHER
43,17,633,247,633,247,649,17,649,08934839105488 BCDR P/S Tong,OTHER
44,267,618,338,620,338,633,266,631,20,200.00,OTHER
45,20,619,69,619,69,631,20,631,VẬT 10%,OTHER
46,149,618,219,618,219,630,149,630,20,200.00,OTHER
47,134,601,337,602,337,615,134,614,Luoi rua chen bon mua 17x,OTHER
48,20,602,131,602,131,614,20,614,08938503111065,OTHER
49,225,585,291,585,291,597,225,597,6,800.00,OTHER
50,24,585,97,585,97,597,24,597,Gia goc,OTHER
51,273,570,338,570,338,583,273,583,5,800.00,OTHER
52,155,569,218,569,218,582,155,582,5,800.00,OTHER
53,72,570,96,570,96,578,72,578,i,OTHER
54,20,568,70,568,70,581,20,581,VẤT 10X,OTHER
55,17,548,339,551,339,568,17,565,08936017361143 Mi OMACHI S.Nam n, qua 809,OTHER
56,227,536,293,536,293,550,227,550,6,800.00,OTHER
57,24,535,97,538,97,550,24,547,Gia gọc,OTHER
58,67,522,98,522,98,530,67,530,1,OTHER
59,272,520,338,520,338,533,272,533,5,800.00,OTHER
60,153,520,219,518,219,532,154,533,5,800.00,OTHER
61,21,520,70,520,70,532,21,532,VẤT 10%,OTHER
62,18,502,339,502,339,517,18,517,08936017368791 Mi OMACHI tom c. cay 5 sao,OTHER
63,43,486,148,486,148,498,43,498,0.334 KG,OTHER
64,141,471,218,471,218,483,141,483,32,000.00,OTHER
65,16,471,66,468,67,481,17,484,VATO5%,OTHER
66,269,470,338,470,338,483,269,483,10,688.00,OTHER
67,16,453,270,453,270,468,16,468,00000002251874 Bo sap loai 1 kg,OTHER
68,62,436,148,436,148,449,62,449,0.320,OTHER
69,12,422,65,419,66,432,13,435,VATO5X,OTHER
70,268,421,339,421,339,434,268,434,14,400.00,OTHER
71,146,418,219,421,219,434,145,431,45,000.00,OTHER
72,11,403,341,400,341,417,12,419,00000002953405 Tao hong queen Newzealand,OTHER
73,12,388,63,388,63,400,12,400,VẤT 10X,OTHER
74,155,388,217,388,217,397,155,397,6,900.00,OTHER
75,268,386,339,386,339,399,268,399,48,300.00,OTHER
76,8,369,340,366,340,381,8,385,08935217400393 Stuoi ttth it duong goi22,OTHER
77,10,337,184,336,185,349,10,350,Nhan vien: thuy Quyen,OTHER
78,245,335,339,335,339,346,245,346,So HD: 09260,OTHER
79,12,320,78,320,78,332,12,332,Quay: 34,OTHER
80,124,317,340,313,340,328,125,332,Ngay: 8/07/2018 18:31:59,OTHER
81,8,290,332,288,332,305,8,307,Co gia tri xuat Hoa don GTGT trong ngay,OTHER
82,104,272,273,270,273,283,104,286,PHIEU TINH TIEN,OTHER
83,58,247,298,246,298,259,58,260,Website: www.co-opmart.com.vn,OTHER
84,88,210,250,207,250,222,88,226,Hot 1 ine: 1900555568,OTHER
85,89,174,253,176,253,189,89,188,191 Quang Trung 0.9,OTHER
86,135,94,196,94,196,116,135,116,sc,OTHER
