1,91,853,336,852,336,865,91,866,cám an và hẹn gập lại quy khách,OTHER
2,69,854,88,854,88,861,69,861,Xin,OTHER
3,156,834,260,835,260,849,156,848,Thu ngân: BH3,OTHER
4,393,810,393,828,233,828,233,810,Ngày: 09/08/2020 - 18:03,TIMESTAMP
5,344,776,395,776,395,794,344,794,32,421,OTHER
6,12,775,184,778,184,792,12,789,Giá trị thưởng tích lũy,OTHER
7,12,752,130,752,130,766,12,766,Hạng hiện thời:,OTHER
8,353,723,395,723,395,741,353,741,1,079,OTHER
9,10,722,129,723,129,740,10,739,Điểm hiện thời:,OTHER
10,11,696,94,699,93,714,11,711,Điêm mua:,OTHER
11,377,695,396,695,396,713,377,713,12,OTHER
12,13,669,145,670,145,687,13,686,(0) dậu công quý,OTHER
13,14,642,202,643,202,657,14,656,Mã thở: A10000000791,OTHER
14,334,599,395,599,395,616,334,616,123,100,OTHER
15,192,599,229,599,229,617,192,617,VND,OTHER
16,7,597,125,595,125,613,7,615,Tiển khách trả:,OTHER
17,97,572,97,594,9,594,9,572,Tổng cộng :,TOTAL_COST
18,396,573,396,590,334,590,334,573,123,100,TOTAL_COST
19,120,552,142,552,142,568,120,568,10,OTHER
20,7,547,74,550,73,568,7,565,Tổng số,OTHER
21,338,516,387,516,387,531,338,531,18,000,OTHER
22,237,516,284,516,284,530,237,530,18,000,OTHER
23,154,516,173,516,173,529,154,529,CH,OTHER
24,109,517,117,517,117,530,109,530,1,OTHER
25,20,492,303,492,303,505,20,505,8935125815227 SRM E100 bo 80mi nt,OTHER
26,335,463,385,463,385,478,335,478,27,000,OTHER
27,235,463,283,463,283,477,235,477,27,000,OTHER
28,150,461,179,464,177,478,149,475,CHA,OTHER
29,111,464,119,464,119,474,111,474,1,OTHER
30,22,440,307,440,307,453,22,453,8934868129158 Cif xit lau bếp 520ml nt,OTHER
31,336,413,382,413,382,428,336,428,10,000,OTHER
32,243,411,284,411,284,429,243,429,5,300,OTHER
33,150,411,179,411,179,426,150,426,GOI,OTHER
34,110,411,122,411,122,425,110,425,2,OTHER
35,142,388,273,388,273,402,142,402,Phở gà đệ nhất NT,OTHER
36,23,388,140,388,140,401,23,401,8934563216139,OTHER
37,333,363,380,361,381,376,334,378,16,500,OTHER
38,243,361,282,361,282,376,243,376,5,500,OTHER
39,152,361,178,361,178,373,152,373,GOI,OTHER
40,112,361,121,361,121,372,112,372,3,OTHER
41,23,336,254,338,254,352,23,350,8934581020035 Phở vifon bỏ nt,OTHER
42,341,313,381,313,381,327,341,327,6,000,OTHER
43,243,312,282,312,282,326,243,326,6,000,OTHER
44,152,312,178,312,178,323,152,323,CAI,OTHER
45,110,312,120,310,122,321,113,323,1,OTHER
46,22,283,362,286,362,306,22,303,8934680040136 Bánh mì tươi sửa và siâu mề NT,OTHER
47,331,263,380,263,380,277,331,277,25,000,OTHER
48,234,263,282,263,282,277,234,277,25,000,OTHER
49,157,261,175,261,175,274,157,274,CH,OTHER
50,113,262,122,262,122,273,113,273,L,OTHER
51,24,234,272,238,272,255,24,251,8934988030020 Dầu cái lân 1 LINT,OTHER
52,330,214,379,214,379,229,330,229,20,0100,OTHER
53,234,213,282,213,282,228,234,228,20,000,OTHER
54,152,211,180,211,180,226,152,226,CHA,OTHER
55,115,212,125,212,125,223,115,223,L,OTHER
56,25,183,343,190,343,209,25,203,8936138161150 lương dt chinsu chai 500g No,OTHER
57,218,166,368,168,367,185,217,182,Đơn giá Thành tiên,OTHER
58,124,167,193,167,193,181,124,181,SL ĐVT,OTHER
59,32,160,101,166,100,181,31,175,Tôn hàng,OTHER
60,109,135,306,140,306,161,109,156,HÓA ĐƠN BÁN HÀNG,OTHER
61,17,100,42,100,42,115,17,115,Tek,OTHER
62,297,78,297,102,113,102,113,78,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
63,283,52,283,74,132,74,132,52,MINIMART ANAN,SELLER
