1,421,1253,478,1253,478,1275,421,1275,27529,OTHER
2,70,1191,433,1191,433,1215,70,1215,hang tai Co. op Pood. Hen gap lai,OTHER
3,40,1159,464,1160,464,1184,40,1183,Tran trong cam on Quy Khach da den mua,OTHER
4,51,1067,349,1069,349,1093,51,1091,Diem su dung trong hoa don:,OTHER
5,54,1039,203,1043,203,1063,54,1058,Diem dau ngay:,OTHER
6,54,1008,131,1011,131,1031,54,1027,Ho ten:,OTHER
7,54,979,130,983,129,1002,54,999,Ma 50,OTHER
8,37,953,378,954,378,974,37,972,THONG TIN KHACH HANG THAN THIET,OTHER
9,36,925,268,925,268,944,36,944,Bao gom thue GTOT 107:,OTHER
10,377,923,465,920,465,941,377,944,2,090.91,OTHER
11,36,893,123,896,122,916,36,913,Tien mat,OTHER
12,370,893,465,893,465,913,370,913,23,000.00,OTHER
13,35,864,280,865,280,889,34,888,Phuong thuc thanh toan:,OTHER
14,91,810,289,813,288,833,91,830,Tong so luong hang:,OTHER
15,415,809,433,809,433,831,415,831,2,OTHER
16,298,767,299,805,35,811,34,773,Tong so tien thanh toan:,TOTAL_COST
17,469,771,469,806,363,808,362,773,23,000.00,TOTAL_COST
18,130,731,142,731,142,744,130,744,1,OTHER
19,41,730,102,730,102,745,41,745,VATIO7,OTHER
20,207,727,300,727,300,747,207,747,10,000.00,OTHER
21,361,726,460,722,461,748,362,751,10,000.00,OTHER
22,37,699,428,697,428,721,37,723,02000134354428 Quay nau chin-CF00d990,OTHER
23,43,676,102,676,102,692,43,692,VAT10X,OTHER
24,210,675,298,675,298,690,210,690,13,000.00,OTHER
25,363,670,458,670,458,694,363,694,13,000.00,OTHER
26,41,646,436,644,436,663,41,666,08934576003757 Sandwich lat 300g?du990,OTHER
27,40,594,455,591,456,611,40,614,Nhan vien: Dinh Thi Bich Ng So HD: 07664,OTHER
28,41,569,124,566,124,587,42,590,Quay: 02,OTHER
29,461,554,461,584,372,586,371,556,11:35:49,TIMESTAMP
30,357,556,358,588,182,592,181,560,Ngày: 17/09/2019,TIMESTAMP
31,41,514,440,512,440,532,41,534,Co gia tri xuat Hoa don OTGT trong ngay,OTHER
32,206,488,306,488,306,502,206,502,TINH,OTHER
33,105,487,203,487,203,502,105,502,PHIEU,OTHER
34,328,486,409,486,409,501,328,501,TIEN,OTHER
35,103,436,419,432,420,450,104,455,Website: www.saigonco-op.com.vn,OTHER
36,112,408,410,404,410,422,112,426,Email: Efthekparkocoopfood.vn,OTHER
37,408,347,408,370,117,377,117,354,tai Khu do thi moi Van Phu,,ADDRESS
38,459,319,459,342,40,351,39,328,Du an Dau tu xay dung Khu nha o Hi Brand,ADDRESS
39,446,290,447,314,51,323,50,299,ket hop đich vu tren o dat H-CT2 thuoc,ADDRESS
40,457,263,458,287,42,296,42,272,Tang 1,SH42 - Toa K3, Cong trinh chung cu,ADDRESS
41,124,247,389,238,389,257,125,266,Ma 50 thue: 0309129418?115,OTHER
42,384,213,384,235,130,240,130,218,Co.op Food HN THE K-PARK,SELLER
43,319,185,320,207,191,210,191,188,Saigon Co.op,SELLER
