1,94,715,390,708,390,729,94,735,Xin cám ơn và hẹn gập lại quý khách,OTHER
2,193,689,305,687,306,705,194,708,Thu ngân: BH1,OTHER
3,444,655,444,674,278,677,275,656,Ngày: 12/08/2020 - 10:46,TIMESTAMP
4,41,620,225,618,225,637,41,639,Giá trị thưởng tích lũy:,OTHER
5,392,617,447,617,447,634,392,634,45, 142,OTHER
6,41,592,168,590,168,611,41,613,Hạng hiện thời:,OTHER
7,42,563,166,563,166,581,42,581,Điểm hiện thơi:,OTHER
8,403,562,446,562,446,578,403,578,2,320,OTHER
9,42,538,128,538,128,552,42,552,Điêm mua,OTHER
10,428,533,448,533,448,551,428,551,11,OTHER
11,43,508,199,503,200,524,43,528,(O) Nguyễn thị chín,OTHER
12,40,481,243,478,244,495,40,498,Mã thể: A10000000071,OTHER
13,387,437,449,437,449,452,387,452,116.010,OTHER
14,232,436,269,436,269,452,232,452,VND,OTHER
15,33,436,159,432,159,449,34,453,Tiển khách trả:,OTHER
16,118,410,119,429,32,429,33,409,Tổng tiền,TOTAL_COST
17,451,411,451,429,385,426,386,408,116,010,TOTAL_COST
18,33,373,129,376,128,394,32,392,Tổng công,OTHER
19,383,375,449,375,449,389,383,389,116.010,OTHER
20,154,351,176,351,176,368,154,368,36,OTHER
21,34,348,103,348,103,366,34,366,Tổng số,OTHER
22,288,314,332,314,332,329,288,329,3,500,OTHER
23,391,312,447,312,447,330,391,330,21,000,OTHER
24,182,313,215,313,215,328,182,328,GOI,OTHER
25,141,315,150,315,150,328,141,328,6,OTHER
26,38,286,378,285,378,302,38,303,291001210000 Bột canh hải châu 190g nt,OTHER
27,391,255,447,255,447,272,391,272,95,010,OTHER
28,288,256,332,256,332,271,288,271,3,167,OTHER
29,181,255,215,255,215,269,181,269,goi,OTHER
30,36,254,152,252,152,270,36,272,Giá bán,OTHER
31,287,227,335,227,335,246,287,246,3,500,OTHER
32,37,226,138,228,137,246,37,243,Giá đăng ký,OTHER
33,40,203,308,203,308,217,40,217,291005480000 Mì hảoh o 75g NT,OTHER
34,45,174,129,178,128,192,45,189,Tên háng,OTHER
35,147,177,235,174,235,189,147,191,SL ĐVT,OTHER
36,258,174,434,173,434,191,258,192,Đơn giá Thành tiển,OTHER
37,134,142,359,142,359,163,134,163,HÓA ĐƠN BÁN HÀNG,OTHER
38,29,105,58,105,58,121,29,121,Tel:,OTHER
39,136,80,348,80,348,98,136,98,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
40,160,52,329,52,329,72,160,72,MINIMART ANAN,SELLER
