1,66,519,395,519,395,540,66,540,Xin cám ơn và hen gắp lai quý khách,OTHER
2,176,493,301,493,301,513,176,513,Thu ngân: BH3,OTHER
3,454,454,454,479,268,479,268,454,Ngày: 12/08/2020 - 13:58,TIMESTAMP
4,388,418,457,418,457,435,388,435,116,000,OTHER
5,220,416,261,416,261,435,220,435,VND,OTHER
6,7,412,140,412,140,429,7,429,Tiền khách trả:,OTHER
7,459,382,459,406,384,406,384,382,116,000,TOTAL_COST
8,111,378,111,403,2,403,2,378,Tổng cộng :,TOTAL_COST
9,147,360,161,360,161,377,147,377,2,OTHER
10,6,353,81,353,81,374,6,374,Tổng số,OTHER
11,402,318,450,318,450,336,402,336,6,000,OTHER
12,282,317,328,317,328,335,282,335,6,000,OTHER
13,168,315,205,315,205,333,168,333,HOP,OTHER
14,123,317,132,317,132,330,123,330,1,OTHER
15,21,287,359,288,359,306,21,305,08850006932278 KDR Colgate trẻ em NT,OTHER
16,376,257,444,257,444,274,376,274,110,000,OTHER
17,260,257,326,257,326,274,260,274,110,000,OTHER
18,175,254,198,254,198,271,175,271,LO,OTHER
19,125,254,137,254,137,270,125,270,1,OTHER
20,25,229,298,229,298,246,25,246,291003300000 dg sunsilk 650 NT,OTHER
21,250,202,429,203,428,219,249,218,Đơn giá Thành tiên,OTHER
22,31,198,255,200,254,221,31,219,Tôn hàng vi đvi,OTHER
23,124,166,349,170,349,191,124,188,HÓA ĐƠN BÁN HÀNG,OTHER
24,20,128,48,128,48,144,20,144,Tel:,OTHER
25,339,96,339,123,128,123,128,96,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
26,322,66,322,93,151,93,151,66,MINIMART ANAN,SELLER
