1,84,1314,190,1323,186,1359,81,1349,Ho ten:,OTHER
2,90,1273,194,1281,191,1311,87,1303,Ma so,OTHER
3,70,1229,540,1264,538,1291,68,1256,THONG TIN KHÁCH HANG THAN THIET:,OTHER
4,545,1217,668,1224,667,1258,543,1252,9,611.42,OTHER
5,70,1189,391,1210,389,1240,68,1219,Bao goo thue GTGT 52:,OTHER
6,516,1175,667,1183,665,1214,515,1206,201,840.00,OTHER
7,75,1149,186,1157,184,1183,73,1175,Tien nat,OTHER
8,75,1108,408,1132,406,1162,73,1138,Phuong thuc thanh toan:,OTHER
9,609,1061,625,1061,625,1086,609,1086,6,OTHER
10,150,1035,422,1052,420,1082,148,1065,Tong so luong hang:,OTHER
11,514,1013,677,1013,677,1058,514,1058,201,840.00,TOTAL_COST
12,83,1027,74,989,436,1007,434,1043,Tong so tien thanh toan:,TOTAL_COST
13,282,925,317,925,317,952,282,952,K6,OTHER
14,187,917,261,921,260,948,185,944,0.264,OTHER
15,538,895,673,900,671,930,537,925,39,072.00,OTHER
16,303,882,448,890,446,920,302,912,148,000.00,OTHER
17,89,873,172,878,170,905,87,900,VATO57,OTHER
18,92,833,507,856,506,886,90,863,00000002955411 Ca Bong Duc ky,OTHER
19,285,805,319,809,316,833,283,829,KG,OTHER
20,193,801,267,806,265,832,191,826,0.658,OTHER
21,542,775,675,780,674,810,541,805,52,969.00,OTHER
22,322,770,452,770,452,800,322,800,80,500.00,OTHER
23,94,758,182,762,181,792,93,788,VATO5Z,OTHER
24,97,720,478,736,477,766,96,749,00000002955303 Ca Ro phi kg,OTHER
25,294,696,324,696,324,719,294,719,KG,OTHER
26,200,692,273,692,273,717,200,717,0.554,OTHER
27,543,661,674,665,673,690,542,687,47,090.00,OTHER
28,326,654,455,658,454,688,325,684,85,000.00,OTHER
29,103,650,185,653,183,679,102,676,VATO5Z,OTHER
30,104,612,513,625,512,653,103,640,00000002950244 Le Han Quoc kg,OTHER
31,294,583,327,583,327,606,294,606,KG,OTHER
32,206,582,273,582,273,603,206,603,0.264,OTHER
33,547,548,677,551,676,576,547,573,10,032.00,OTHER
34,332,546,456,546,456,572,332,572,38,000.00,OTHER
35,107,539,192,542,191,568,106,565,VATO57,OTHER
36,109,499,501,513,500,541,108,528,00000002950765 Khoai lang kg,OTHER
37,271,474,332,474,332,495,271,495,6 KG,OTHER
38,210,466,281,470,280,496,208,492,0.396,OTHER
39,551,437,678,437,678,461,551,461,12,078.00,OTHER
40,333,431,462,434,461,464,332,461,30,500.00,OTHER
41,114,429,196,433,195,459,113,455,VATO5Z,OTHER
42,117,391,475,397,475,426,116,420,00000002950061 Cai thia Kg,OTHER
43,214,361,282,361,282,383,214,383,0.694,OTHER
44,553,327,678,327,678,353,553,353,40,599.00,OTHER
45,341,326,466,326,466,350,341,350,58,500.00,OTHER
46,119,324,203,324,203,350,119,350,VATO57,OTHER
47,125,292,676,292,676,316,125,316,00000002950156 Bong Mien Bac k,OTHER
48,127,223,679,221,679,245,127,248,Nhan vien: Nguyen Viet Hiew So HD: 09343,OTHER
49,129,191,239,189,239,215,130,216,Quay: 02,OTHER
50,568,185,683,185,683,213,568,213,10:54:55,TIMESTAMP
51,316,181,548,181,548,220,316,220,Ngày: 23/09/2019,TIMESTAMP
52,134,121,665,115,665,144,134,150,Co gia tri xuat Hoa don GTGT trong ngay,OTHER
53,217,91,348,87,349,107,218,111,PHIEU,OTHER
54,379,87,486,87,486,107,379,107,TINH,OTHER
55,476,84,617,84,617,104,476,104,HETTEN,OTHER
56,222,21,640,14,641,38,222,46,Website: www.saigonco-op.com.vn,OTHER
