1,47,851,360,847,360,882,47,885,Thu ngân vô thi mỹ linh,OTHER
2,50,817,310,812,310,837,50,842,Xin cảm ơn quý khách,OTHER
3,297,760,375,760,375,788,297,788,Tra lại,OTHER
4,496,757,573,759,572,788,495,785,22,000,OTHER
5,54,726,174,724,174,749,54,751,Khách trá,OTHER
6,304,723,372,723,372,745,304,745,CASH,OTHER
7,498,722,570,722,570,744,498,744,SOLONO,OTHER
8,52,684,266,681,266,711,51,718,Tổng tiền phải trả:,TOTAL_COST
9,493,677,579,677,579,708,493,708,28,000 28,000,TOTAL_COST
10,53,649,232,642,233,670,54,677,Tông chiết khâu,OTHER
11,507,645,574,645,574,667,507,667,2000,OTHER
12,51,608,173,608,173,636,51,636,Tông cộng,OTHER
13,498,602,571,602,571,625,498,625,30,000,OTHER
14,46,569,149,565,150,597,47,601,Tông số:,OTHER
15,331,565,350,565,350,589,331,589,I,OTHER
16,440,519,568,518,569,536,440,537,Giám giáo ngoào,OTHER
17,46,502,276,495,277,513,47,520,1120000000100,OTHER
18,330,493,343,493,343,511,330,511,I,OTHER
19,384,490,445,489,446,507,385,508,30,000,OTHER
20,507,489,567,489,567,507,507,507,30 000,OTHER
21,45,460,152,460,152,481,45,481,Tên hùng,OTHER
22,301,452,566,444,567,467,301,475,Si Dơn giá Thành tiên,OTHER
23,123,407,485,399,485,427,123,434,SÔ 11122000084300019743010,OTHER
24,169,364,440,355,441,382,170,391,HOA DƠN BÁN HANG,OTHER
25,50,321,551,309,552,336,51,348,Telenne-20.00517104 Fix 184.31-22537104,OTHER
26,173,279,439,279,439,308,173,308,TX Lĩ An, Bình Dương,ADDRESS
27,540,245,541,273,63,277,66,243,Block D3. Khu BKTX ĐHQG. P Đông Hoà,,ADDRESS
28,500,149,502,222,200,232,197,159,FamilyMart,SELLER
