1,159,576,270,576,270,593,159,593,Thu ngân: BH3,OTHER
2,409,545,409,567,239,567,239,545,Ngày: 10/08/2020 - 17:07,TIMESTAMP
3,352,510,414,510,414,527,352,527,131,500,OTHER
4,196,504,236,504,236,526,196,526,VND,OTHER
5,5,501,126,501,126,518,5,518,Tiển khách trả:,OTHER
6,417,481,417,498,348,498,348,481,131,500,TOTAL_COST
7,97,471,97,494,5,494,5,471,Tổng cộng:,TOTAL_COST
8,132,455,144,455,144,472,132,472,8,OTHER
9,5,450,73,450,73,467,5,467,Tổng số,OTHER
10,357,418,411,418,411,436,357,436,16,800,OTHER
11,254,416,297,416,297,434,254,434,5,500,OTHER
12,152,414,183,414,183,430,152,430,GOI,OTHER
13,112,415,119,415,119,428,112,428,3,OTHER
14,15,387,288,389,288,406,15,404,8934563102166 Mi Lầu thái 80g NT,OTHER
15,354,359,408,359,408,376,354,376,87,000,OTHER
16,244,358,297,358,297,375,244,375,87,000,OTHER
17,154,357,184,357,184,372,154,372,TUY,OTHER
18,113,359,120,359,120,370,113,370,1,OTHER
19,16,333,367,333,367,349,16,349,4902430731874 Xả downy túi 1,6 và 1,8ml NT,OTHER
20,354,302,408,304,407,322,353,320,18,000,OTHER
21,255,303,297,303,297,318,255,318,6,000,OTHER
22,155,302,185,302,185,316,155,316,GOI,OTHER
23,116,303,123,303,123,314,116,314,3,OTHER
24,18,275,385,275,385,294,18,294,8936010680555 Mi cung đình lầu tôm cay 80 NT,OTHER
25,353,247,406,247,406,264,353,264,10,000,OTHER
26,245,247,297,247,297,264,245,264,10,000,OTHER
27,155,247,187,247,187,261,155,261,GOI,OTHER
28,116,249,126,249,126,259,116,259,1,OTHER
29,19,219,292,221,292,238,19,237,8934680045896 bánh mi kd piza NO,OTHER
30,24,192,398,193,398,214,24,213,Tôn hàng số ĐVT Đơn giá Thành tiến,OTHER
31,113,163,323,163,323,183,113,183,HÓA ĐƠN BÁN HÀNG,OTHER
32,6,117,37,120,35,138,4,135,Tel:,OTHER
33,316,97,316,117,112,117,112,97,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
34,299,69,299,89,136,87,137,65,MINIMART ANAN,SELLER
