1,55,487,153,491,152,506,54,501,LIÊN THINH CHO KHÁCH HAN,OTHER
2,75,473,133,476,133,487,74,485,NHỮNG HIÊM TM,OTHER
3,86,457,119,457,119,472,86,472,LÀ DUNG,OTHER
4,32,438,173,444,172,457,32,452,THI XEA NHÔN TRAN HƯNG THANH THAN MAY,OTHER
5,6,420,13,420,13,438,6,438,S,OTHER
6,8,389,96,393,96,407,7,404,CHỦ KỲ NHÀNH THI CAU,OTHER
7,10,369,96,371,96,382,10,380,NGUYEN,OTHER
8,12,353,92,356,92,367,12,365,AID A00000000331010,OTHER
9,14,339,51,339,51,350,14,350,APP VISA,OTHER
10,127,321,211,319,208,341,122,339,VNĐ 229.869,TOTAL_COST
11,12,315,102,315,102,338,12,338,TỔNG CỘNG:,TOTAL_COST
12,118,295,206,297,205,310,117,308,NG CHUNN CHI: MUNGI,OTHER
13,52,294,104,296,104,306,52,304,080201004400,OTHER
14,16,293,55,293,55,303,16,303,5010,OTHER
15,212,280,206,294,171,298,175,280,19:42:34,TIMESTAMP
16,143,279,141,293,115,295,118,278,GIỜ,TIMESTAMP
17,61,278,103,281,103,292,60,290,1007,OTHER
18,15,272,44,272,44,291,15,291,NGÀY:,TIMESTAMP
19,181,267,205,267,205,279,181,279,001140,OTHER
20,118,266,153,266,153,277,118,277,SỞ 1..001:,OTHER
21,80,266,107,266,107,276,80,276,00106,OTHER
22,17,261,43,261,43,273,17,273,50 10,OTHER
23,67,248,145,249,145,263,66,262,THANH TUAN,OTHER
24,185,237,208,237,208,250,185,250,08,OTHER
25,19,232,62,234,61,245,18,242,KAY M HAN,OTHER
26,33,218,108,222,107,233,32,229,HOÀN LI NHAT AN,OTHER
27,23,217,36,220,34,230,21,227,TEN,OTHER
28,158,209,207,209,207,219,158,219,seer-032200,OTHER
29,20,202,60,202,60,217,20,217,DI VISH,OTHER
30,148,194,207,194,207,204,148,204,000101900082199,OTHER
31,124,194,138,194,138,202,124,202,AID,OTHER
32,77,189,111,191,110,206,76,203,SPRISHA,OTHER
33,21,187,38,187,38,199,21,199,II,OTHER
34,139,179,212,179,208,190,136,189,CẨM PHẢ QUẢNG NINH,ADDRESS
35,120,161,212,161,212,175,120,175,TO 8 KHU 3B P CAM TRUNG,ADDRESS
36,22,156,91,156,91,174,22,174,ĐỊA CHỈ ĐẠI LÝ:,ADDRESS
37,124,148,208,150,207,161,124,159,VUL VINTING 1994 THÀNH,OTHER
38,69,142,69,154,25,154,25,142,TÊN ĐẠI LÝ,SELLER
39,48,93,183,102,182,123,47,114,Vietcombank,OTHER
