1,61,708,374,706,374,728,61,729,Xin cám ơn và hẹn gập lại quý khách l,OTHER
2,166,684,283,683,283,701,166,702,Thu ngân: BH3,OTHER
3,431,650,431,674,249,671,250,647,Ngày: 10/08/2020 - 17:28,TIMESTAMP
4,376,610,431,610,431,627,376,627,34,199,OTHER
5,10,608,200,608,200,628,10,628,Giá trị thưởng tích lũy:,OTHER
6,9,581,139,579,140,597,9,599,Hạng hiện thời:,OTHER
7,386,550,433,553,432,572,385,569,1,006,OTHER
8,10,547,137,549,136,570,10,568,Điểm hiện thời:,OTHER
9,11,520,101,520,101,537,11,537,Điôm mua:,OTHER
10,421,521,433,521,433,539,421,539,3,OTHER
11,13,489,156,486,156,507,14,509,(0) đảo dương tri,OTHER
12,12,460,218,459,218,476,12,477,Mã thỏ: A10000000579,OTHER
13,376,418,432,418,432,436,376,436,39,000,OTHER
14,214,413,252,416,251,435,213,432,VND,OTHER
15,7,413,135,410,136,429,7,431,Tiến khách trả:,OTHER
16,434,387,434,406,374,405,375,386,39,000,TOTAL_COST
17,107,385,106,407,7,406,7,383,Tổng cộng:,TOTAL_COST
18,143,366,153,366,153,381,143,381,2,OTHER
19,9,360,78,360,78,378,9,378,Tổng số,OTHER
20,371,324,427,324,427,343,371,343,15,000,OTHER
21,256,322,311,325,310,343,256,340,15,000,OTHER
22,161,323,193,323,193,339,161,339,GOI,OTHER
23,118,325,126,325,126,337,118,337,1,OTHER
24,19,297,327,298,327,312,19,311,8936103590310 bột nếp tài ký 400g nt,OTHER
25,369,267,426,267,426,284,369,284,24,000,OTHER
26,256,266,311,266,311,283,256,283,24,000,OTHER
27,162,266,195,266,195,281,162,281,LON,OTHER
28,117,266,129,266,129,281,117,281,1,OTHER
29,19,238,333,240,333,256,19,254,8935001200444 nước cốt dừa 400ml NT,OTHER
30,237,214,412,214,412,228,237,228,Đơn giá Thành tiến,OTHER
31,22,210,244,212,244,230,22,228,Tôn hàng sl đvt,OTHER
32,113,175,340,178,340,203,112,200,HÓA ĐƠN BÁN HÀNG,OTHER
33,4,132,34,132,34,151,4,151,Teli,OTHER
34,331,110,331,131,115,127,116,107,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
35,316,76,315,96,140,93,140,74,MINIMART ANAN,SELLER
