1,161,388,266,391,266,410,161,406,Thu ngân ma,OTHER
2,197,326,234,326,234,346,197,346,VND,OTHER
3,130,322,131,344,9,346,8,323,Tiền khách trái,TOTAL_COST
4,339,322,396,322,396,340,339,340,176,000,OTHER
5,10,299,92,304,91,322,9,317,Tổng công,OTHER
6,339,294,396,294,396,311,339,311,170,000,OTHER
7,133,281,145,281,145,297,133,297,1,OTHER
8,8,277,74,277,74,295,8,295,Tổng số,OTHER
9,112,245,121,245,121,255,112,255,I,OTHER
10,149,240,185,240,185,258,149,258,HOP,OTHER
11,232,239,290,236,290,255,232,257,176,000,OTHER
12,335,237,391,237,391,255,335,255,170,000,OTHER
13,16,217,298,212,298,229,16,235,8998001303078 bánh danma 0810 NT,OTHER
14,23,188,98,191,97,209,22,205,Tôn hăng,OTHER
15,122,189,198,187,198,204,122,206,SL OVT,OTHER
16,225,186,379,185,379,203,225,204,Đơn giá Thành liên,OTHER
17,110,156,312,156,312,177,110,177,HÓA ĐƠN BAN HĂNG,OTHER
18,7,118,34,118,34,134,7,134,Ist,OTHER
19,304,89,304,110,113,113,112,91,Chợ sửi Phú Thị Thị Gia Lâm,ADDRESS
20,289,61,289,81,134,83,134,63,MINIMART ANAN,SELLER
