1,99,401,311,405,310,422,99,418,Cám ơn quý khách Hẹn gặp lại,OTHER
2,378,361,378,382,324,380,324,360,30,000,TOTAL_COST
3,150,358,150,385,34,381,34,354,Cộng tiền hàng,TOTAL_COST
4,324,327,376,327,376,345,324,345,30,000,OTHER
5,34,329,46,329,46,343,34,343,I,OTHER
6,170,324,222,324,222,342,170,342,30,000,OTHER
7,35,297,255,297,255,317,35,317,Sửa đặc Dinh đưỡng túi Shug,OTHER
8,300,271,373,271,373,285,300,285,Thanh tiền,OTHER
9,171,270,222,270,222,285,171,285,Đơn giá,OTHER
10,36,270,58,270,58,287,36,287,SL,OTHER
11,157,214,171,214,171,227,157,227,1,OTHER
12,373,210,372,231,266,227,267,207,Ngày: 11-08-2020,TIMESTAMP
13,40,210,128,210,128,224,40,224,Số: SON55339,OTHER
14,132,178,280,179,279,196,132,195,HÓA ĐƠN BÁN HANG,OTHER
15,128,128,287,128,287,141,128,141,0807322496-02438765210,OTHER
16,370,104,370,130,44,120,45,94,Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
17,286,84,285,100,129,97,129,81,CỬA HÀNG NĂM OÁNH,SELLER
