1,90,642,391,634,391,654,90,662,Xin cám cn và hiện gấp lại quý khách,OTHER
2,190,616,304,611,304,629,190,633,Thu ngân: BH4,OTHER
3,441,572,443,592,271,601,269,578,Ngày: 12/08/2020 - 14:25,TIMESTAMP
4,38,544,221,539,221,558,39,564,Giá trị thưởng tích lùy,OTHER
5,390,534,443,534,443,552,390,552,14,166,OTHER
6,38,517,161,513,162,531,39,535,Hạng hiện thơi,OTHER
7,36,487,160,485,161,503,37,505,Điểm hiện thời:,OTHER
8,395,477,439,473,441,493,396,496,1,544,OTHER
9,34,461,122,457,122,475,35,478,Điêm mua:,OTHER
10,420,446,439,446,439,464,420,464,17,OTHER
11,37,430,178,422,179,443,38,451,(0) Đồ văn doanh,OTHER
12,35,404,233,395,234,412,36,421,Mã thố Ta 10000000137,OTHER
13,20,362,145,357,146,374,21,379,Tiến trả lại VND,OTHER
14,367,349,431,347,432,364,367,366,330,000,OTHER
15,27,330,150,324,151,341,28,347,Tiến khách trả:,OTHER
16,220,324,258,324,258,343,220,343,VND,OTHER
17,367,320,431,318,432,335,367,337,502,000,OTHER
18,25,302,124,302,124,323,25,323,Tổng cộng :,TOTAL_COST
19,366,291,434,291,434,309,366,309,172,000,TOTAL_COST
20,27,279,96,278,96,296,27,297,Tổng số,OTHER
21,155,279,167,279,167,296,155,296,1,OTHER
22,130,243,139,243,139,256,130,256,1,OTHER
23,171,239,203,239,203,255,171,255,GOI,OTHER
24,253,238,314,234,315,251,254,255,172,000,OTHER
25,360,232,422,230,423,248,361,251,172,000,OTHER
26,33,220,349,208,350,225,34,238,8935107200942 Bim dán Huggies L42 NT,OTHER
27,39,194,142,194,142,208,39,208,Tên hàng,OTHER
28,136,190,409,180,409,197,137,207,SL ĐVT Đơn giá Thành tiển,OTHER
29,123,156,337,151,338,174,124,179,HÓA ĐƠN BÁN HÀNG,OTHER
30,19,124,46,124,46,139,19,139,Tel,OTHER
31,118,84,327,84,327,114,118,114,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
32,140,54,312,54,312,84,140,84,MINIMART ANAN,SELLER
