1,105,684,473,669,474,694,106,708,Xin cám ơn và họn gắp lại quý khách,OTHER
2,234,651,373,646,374,668,235,672,Thu ngân: BH2,OTHER
3,541,607,541,633,334,630,335,604,Ngày: 17/08/2020-16:555,TIMESTAMP
4,290,562,336,559,338,582,291,585,VND,OTHER
5,33,563,193,559,194,580,34,585,Tiển khách trả:,OTHER
6,479,559,541,559,541,580,479,580,69,000,OTHER
7,163,527,163,551,29,550,29,525,Tổng cộng:,TOTAL_COST
8,547,520,547,550,466,549,466,518,69,000,TOTAL_COST
9,201,499,216,499,216,522,201,522,3,OTHER
10,33,495,125,495,125,519,33,519,Tổng số,OTHER
11,483,452,537,452,537,474,483,474,7,000,OTHER
12,350,452,404,452,404,474,350,474,7,000,OTHER
13,225,450,265,450,265,469,225,469,GOI,OTHER
14,171,451,184,451,184,467,171,467,1,OTHER
15,47,418,352,419,352,439,47,438,291019760000 Bột chiên xù NT,OTHER
16,469,387,529,387,529,405,469,405,27,000,OTHER
17,337,384,402,384,402,405,337,405,27,000,OTHER
18,226,383,264,383,264,402,226,402,GOI,OTHER
19,173,383,185,383,185,401,173,401,1,OTHER
20,51,347,444,356,444,376,50,367,291012760000 bánh gao richy to 315g NT,OTHER
21,463,319,525,322,524,343,462,340,35,000,OTHER
22,336,317,399,320,398,341,335,338,35,000,OTHER
23,225,313,264,316,263,334,224,331,GOI,OTHER
24,175,315,185,315,185,330,175,330,1,OTHER
25,53,279,500,292,499,313,52,300,291032390000 quẩy xoán hàn quốc gói 280g no,OTHER
26,309,257,511,261,510,282,309,278,Đơn giá Thành tiển,OTHER
27,59,247,281,256,280,277,58,268,Tôn hàng sl đvt,OTHER
28,170,209,427,221,426,249,169,238,HÓA ĐƠN BÁN HÀNG,OTHER
29,39,153,75,157,73,176,37,172,Tel:,OTHER
30,167,125,428,125,428,171,167,171,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
31,194,83,407,83,407,135,194,135,MINIMART ANAN,SELLER
