1,37,423,210,411,211,432,39,444,Số GD treo:660,OTHER
2,36,393,209,379,210,400,38,413,TÊN NV:4987CHT,OTHER
3,33,361,130,353,132,375,35,383,Quầy:001,OTHER
4,392,337,547,327,548,347,393,357,NVBH:09024524,OTHER
5,209,318,374,307,375,328,210,339,Giao dich treo,OTHER
6,222,282,224,313,24,325,22,294,Ngày: 13/08/2020,TIMESTAMP
7,551,259,553,290,363,301,362,270,Thời gian: 15:5:58,TIMESTAMP
8,287,223,439,213,441,237,289,247,024,71066366-49871,OTHER
9,192,181,195,229,21,239,18,192,VinCommerce,SELLER
10,471,177,473,205,256,218,254,189,TP.Cẩm Phả, T.Quảng Ninh,ADDRESS
11,463,141,465,171,256,184,255,153,Tổ 8, Khu 3B, P. Cẩm Trung,ADDRESS
12,488,109,489,135,228,151,226,124,VM+ QNH Tổ 8 Khu 3B Cẩm Trung,ADDRESS
