1,210,1211,713,1238,711,1281,208,1254,theoquy khách, Hẹn gặp lại:,OTHER
2,873,1137,873,1184,714,1181,715,1134,391.300,TOTAL_COST
3,333,1109,332,1167,67,1162,68,1105,Cộng tiền hàng tiền hàng,TOTAL_COST
4,720,1054,867,1057,866,1096,719,1092,312,000,OTHER
5,390,1043,489,1043,489,1084,390,1084,6,500,OTHER
6,75,1023,123,1030,115,1074,68,1067,48,OTHER
7,83,969,605,986,603,1025,82,1007,Sữa bích VNM it đường 220ml,OTHER
8,740,920,862,924,861,959,739,956,21,000,OTHER
9,393,907,493,911,491,952,391,949,4,200,OTHER
10,83,904,106,904,106,938,83,938,5,OTHER
11,91,841,543,853,542,891,90,879,SCU Probi Đường 65ml/50,OTHER
12,738,790,859,790,859,826,738,826,18,300,OTHER
13,397,777,494,781,492,822,395,818,6,100,OTHER
14,92,776,114,776,114,813,92,813,3,OTHER
15,100,719,469,729,468,763,99,753,Phớ bò Cung Đình 68g,OTHER
16,738,664,855,664,855,699,738,699,40,000,OTHER
17,404,661,495,661,495,696,404,696,8,000,OTHER
18,104,661,121,661,121,689,104,689,5,OTHER
19,108,599,623,608,623,642,108,634,Cháo Tổ yen Thít bảm YLP 50g,OTHER
20,680,543,851,540,852,575,681,578,Thành tiền,OTHER
21,109,544,153,544,153,574,109,574,SL,OTHER
22,382,519,518,530,513,591,377,580,Đon giá,OTHER
23,851,423,850,464,607,459,607,419,Ngày: 11-08-2020,TIMESTAMP
24,121,417,305,422,305,451,121,446,Sô: SON55448,OTHER
25,322,358,636,360,636,389,322,388,HÓA ĐƠN BÁN HÀNG,OTHER
26,309,253,653,254,653,279,309,277,0361322496-02438765210,OTHER
27,842,205,841,245,136,233,137,193,Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
28,656,164,655,196,314,190,315,158,CỬA HÀNG NĂM OÁNH,SELLER
