1,88,628,375,628,375,644,88,644,Xin cám ơn và hẹn gặp lại quy khách,OTHER
2,182,609,290,609,290,623,182,623,Thu ngân: BH4,OTHER
3,429,578,429,598,259,598,259,578,Ngày: 12/08/2020-15:34,TIMESTAMP
4,377,542,431,542,431,558,377,558,34.003,OTHER
5,33,541,210,543,209,559,33,557,Giá trị thưởng tích lũy:,OTHER
6,32,515,153,514,153,532,32,533,Hạng hiện thới:,OTHER
7,31,486,150,486,150,503,31,503,Điểm hiện thời:,OTHER
8,385,485,430,485,430,503,385,503,9,780,OTHER
9,33,460,115,460,115,473,33,473,Điêm mua:,OTHER
10,418,456,429,456,429,473,418,473,6,OTHER
11,35,430,220,428,220,445,35,447,(O) Hoàng Thanh Tuyên,OTHER
12,35,404,225,402,225,415,35,418,Mã thể: A10000000110,OTHER
13,220,358,256,358,256,375,220,375,VND,OTHER
14,30,359,146,356,146,372,31,376,Tiển khách trả:,OTHER
15,371,357,426,357,426,373,371,373,63,75C,OTHER
16,108,333,108,354,30,354,30,333,Tổng tiền,TOTAL_COST
17,425,329,425,348,369,348,369,329,63,750,TOTAL_COST
18,31,300,116,302,116,319,30,317,Tổng cộng,OTHER
19,370,298,421,298,421,312,370,312,63.750,OTHER
20,144,281,166,281,166,296,144,296,10,OTHER
21,33,277,98,280,97,296,32,294,Tổng số,OTHER
22,42,247,102,247,102,261,42,261,Giá bán,OTHER
23,173,245,202,245,202,259,173,259,GOI,OTHER
24,121,245,143,245,143,260,121,260,IC,OTHER
25,269,244,309,244,309,259,269,259,6,375,OTHER
26,363,242,415,242,415,259,363,259,63,750,OTHER
27,44,224,133,224,133,238,44,238,Giá đăng ký,OTHER
28,269,221,310,221,310,236,269,236,6,500,OTHER
29,46,202,383,196,383,210,46,216,291008040000 Sữa túi fno không đương VN NT,OTHER
30,52,177,123,179,123,193,52,191,Tân hàng,OTHER
31,145,176,401,171,401,188,145,193,SL ĐVT Đơn giá Thanh tiến,OTHER
32,132,148,332,145,333,164,133,167,HÓA ĐƠN BÁN HÀNG,OTHER
33,39,115,66,115,66,130,39,130,Tel:,OTHER
34,325,89,325,108,135,108,135,89,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
35,307,62,307,79,156,79,156,62,MINIMART ANAN,SELLER
