1,53,785,203,792,202,810,52,804,Triple Camera,OTHER
2,2,789,50,789,50,804,2,804,sung,OTHER
3,11,687,343,687,343,700,11,700,HOT LINE: 02471066866 Webs ite: vinmart.. COM,OTHER
4,52,665,301,665,301,678,52,678,CÂM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI,OTHER
5,11,625,347,623,347,638,11,639,Tax invoice will berissued within same day,OTHER
6,69,603,282,603,282,617,69,617,Chí xuất hóa đơn trong ngày,OTHER
7,11,543,115,542,115,556,11,557,Số tham chiếu,OTHER
8,211,542,347,542,347,555,211,555,00493000100064283,OTHER
9,331,524,340,524,340,533,331,533,4,OTHER
10,12,522,210,518,210,536,12,539,tâm tích(1.000 NND 1 điểm),OTHER
11,11,501,147,500,148,517,11,519,ID thế khách hàng,OTHER
12,220,501,343,500,343,513,220,515,XXXXXXXXXXXXXXO 109,OTHER
13,74,461,280,458,280,476,74,478,(Gia đã bao gồm thuê gigt),OTHER
14,13,443,106,443,106,457,13,457,TIỀN TRÃ LẠI,OTHER
15,297,441,345,441,345,455,297,455,20.900,OTHER
16,21,425,82,425,82,436,21,436,TIẾN MẶT,OTHER
17,291,423,344,423,344,434,291,434,150.000,OTHER
18,14,403,124,402,124,417,14,418,TIẾN KHÁCH TRÃ,OTHER
19,289,403,344,400,345,414,289,417,129.100,OTHER
20,15,384,138,383,139,397,15,398,TỔNG TIẾN Ả GIẢN,OTHER
21,328,383,337,383,337,394,328,394,o,OTHER
22,13,361,186,358,180,379,9,381,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
23,287,360,347,356,349,378,288,380,129.100,TOTAL_COST
24,13,327,114,327,114,340,13,340,8935058962098,OTHER
25,161,325,209,325,209,339,161,339,54.500,OTHER
26,287,324,342,322,343,336,287,338,109.000,OTHER
27,246,324,258,324,258,338,246,338,2,OTHER
28,14,308,138,308,138,321,14,321,CR Móng heo 5009,OTHER
29,14,289,113,287,113,300,14,303,2600 107006707,OTHER
30,251,288,251,298,256,293,251,298,1,OTHER
31,162,288,207,288,207,300,162,300,20, 00,OTHER
32,294,285,342,285,342,300,294,300,20,100,OTHER
33,12,269,227,267,227,281,12,283,KHOA THY 30.000/KG X.0,670,OTHER
34,223,268,248,268,248,279,223,279,00 KG,OTHER
35,13,250,76,250,76,264,13,264,Mặt nang,OTHER
36,232,248,246,248,246,261,232,261,SL,OTHER
37,154,247,201,247,201,262,154,262,ơn gia,OTHER
38,286,246,334,243,335,259,286,261,1, Tiên,OTHER
39,15,213,73,213,73,224,15,224,quây 001,OTHER
40,237,207,340,206,340,221,238,222,NVBI 100024144,OTHER
41,8,186,213,186,213,209,8,209,Ngày bán: 14/08/2020 07:21,TIMESTAMP
42,253,189,332,186,333,200,254,202,11100064283,OTHER
43,116,170,230,170,230,184,116,184,HÔA ĐN BÂN NĂNG,OTHER
44,179,132,271,132,271,147,179,147,02471008306 4320,OTHER
45,125,111,124,137,9,134,9,107,VinCommerce,SELLER
46,160,106,295,106,295,126,160,126,TP. Cẩm Phả, Quảng Ninh,ADDRESS
47,150,85,305,85,305,106,150,106,Số 1060-1062 Đường Trần Phú,ADDRESS
48,305,63,301,82,149,85,152,63,VM + QNH 1060-1062 Trần Phú,ADDRESS
